epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99968,4.1074,101.597,2.90256,0,0,0,0,2.88181,90.6121,2.02795,0.0004,0.0004,0.0004
2,8.32132,5.02273,87.2032,3.34173,0,0,0,0,2.82347,90.781,2.00028,0.000816753,0.000816753,0.000816753
3,11.6375,4.14879,33.4657,3.27168,0,0,0,0,2.80999,79.1585,1.99572,0.00123018,0.00123018,0.00123018
4,14.903,4.03045,15.0132,3.01177,0,0,0,0,2.02366,159.307,10.6152,0.00164028,0.00164028,0.00164028
5,18.0973,4.05854,9.3531,2.67681,0,0,0,0,0,0,0,0.00196832,0.00196832,0.00196832
6,21.1829,3.66171,5.95375,2.52103,0,0,0,0,0,0,0,0.0019604,0.0019604,0.0019604
7,24.3085,3.6295,4.20966,2.33036,0,0,0,0,5.5808,5.01619,8.42842,0.00195248,0.00195248,0.00195248
8,27.5337,3.57734,3.57315,2.20557,0.13979,0.0885,0.04152,0.01138,3.45101,2.10983,2.12899,0.00194456,0.00194456,0.00194456
9,30.7203,3.43867,3.1468,2.07285,0.13784,0.16814,0.04252,0.00845,3.3968,2.05722,1.98922,0.00193664,0.00193664,0.00193664
10,33.4345,3.44588,2.86305,2.04638,0.08367,0.10619,0.03148,0.00681,3.56204,2.3214,2.00674,0.00192872,0.00192872,0.00192872
11,36.1115,3.13319,2.53663,1.92936,0.13268,0.14159,0.04098,0.00942,3.57982,2.14229,1.89466,0.0019208,0.0019208,0.0019208
12,38.8231,3.14453,2.35444,1.87891,0.26733,0.21239,0.11881,0.03397,2.93678,2.04936,1.72778,0.00191288,0.00191288,0.00191288
13,41.9937,3.21698,2.26532,1.91279,0.25347,0.13274,0.1121,0.02776,3.05128,2.26099,1.78076,0.00190496,0.00190496,0.00190496
14,44.6796,3.06139,2.29245,1.82131,0.26127,0.02655,0.02036,0.00403,4.18243,2.87547,2.1042,0.00189704,0.00189704,0.00189704
15,47.3777,3.14635,2.05439,1.91053,0.24704,0.28165,0.17217,0.04693,2.85845,1.73408,1.68241,0.00188912,0.00188912,0.00188912
16,50.5916,3.1044,1.93361,1.8047,0.21068,0.29204,0.13502,0.0318,3.07016,2.31677,1.67031,0.0018812,0.0018812,0.0018812
17,53.2804,2.77252,1.931,1.76733,0.30272,0.28319,0.21694,0.05304,2.67062,1.97037,1.62086,0.00187328,0.00187328,0.00187328
18,56.4563,2.75911,1.80165,1.6737,0.29323,0.41593,0.22608,0.05718,2.63797,1.4891,1.57884,0.00186536,0.00186536,0.00186536
19,59.6355,2.70323,1.79835,1.67179,0.25718,0.28319,0.17111,0.04804,2.9048,1.6216,1.61259,0.00185744,0.00185744,0.00185744
20,62.309,2.91507,1.77917,1.59181,0.30508,0.41593,0.24827,0.07196,2.57889,1.4826,1.55412,0.00184952,0.00184952,0.00184952
21,65.4877,2.67008,1.71819,1.59255,0.40038,0.31858,0.26209,0.07068,2.71647,1.55984,1.58582,0.0018416,0.0018416,0.0018416
22,68.7235,2.6251,1.68003,1.58986,0.29097,0.44248,0.23687,0.06812,2.57818,1.84108,1.48743,0.00183368,0.00183368,0.00183368
23,71.3644,2.57069,1.71674,1.52145,0.31433,0.30973,0.23844,0.06231,2.85188,1.53276,1.52397,0.00182576,0.00182576,0.00182576
24,74.0488,2.66454,1.85429,1.65607,0.2974,0.49558,0.2645,0.0753,2.56129,1.67808,1.5639,0.00181784,0.00181784,0.00181784
25,77.1891,2.62943,1.6527,1.56621,0.27276,0.49558,0.23677,0.06902,2.52184,1.54499,1.56293,0.00180992,0.00180992,0.00180992
26,79.8338,2.60358,1.58142,1.57622,0.27172,0.22124,0.11717,0.03817,2.74502,1.73998,1.705,0.001802,0.001802,0.001802
