epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.21751,4.11031,101.735,2.91399,0,0,0,0,2.88181,90.6121,2.02814,0.0004,0.0004,0.0004
2,9.43148,5.18608,87.9983,3.3253,0,0,0,0,2.84777,90.7499,2.01171,0.000816753,0.000816753,0.000816753
3,12.6346,4.2719,29.8463,3.48067,0,0,0,0,2.83609,79.6363,2.00634,0.00123018,0.00123018,0.00123018
4,15.7909,3.99828,15.5751,2.90782,0,0,0,0,2.75795,1.92483,3.47123,0.00164028,0.00164028,0.00164028
5,18.864,3.87332,8.98069,2.70864,0,0,0,0,0.00012,0,0.00045,0.00196832,0.00196832,0.00196832
6,21.9426,3.88321,6.04689,2.58091,0,0,0,0,3.49742,2.90604,6.40036,0.0019604,0.0019604,0.0019604
7,24.9832,3.5543,4.58624,2.27008,0.00772,0.04425,0.00551,0.0023,3.81938,2.58491,2.99606,0.00195248,0.00195248,0.00195248
8,28.068,3.67729,3.79119,2.18566,0.00479,0.22124,0.01739,0.00286,3.95432,2.82377,2.55129,0.00194456,0.00194456,0.00194456
9,31.165,3.67771,3.31111,2.10091,0.08852,0.04425,0.0207,0.00482,3.59898,2.21549,2.25816,0.00193664,0.00193664,0.00193664
10,34.2906,3.45367,2.85197,2.04616,0.12096,0.14005,0.04053,0.00975,3.35821,2.00898,2.11858,0.00192872,0.00192872,0.00192872
11,37.3702,3.06185,2.60932,1.9031,0.22751,0.17699,0.08353,0.02305,3.12027,2.09787,1.91309,0.0019208,0.0019208,0.0019208
12,40.4782,3.27562,2.39784,1.96098,0.23187,0.20354,0.1513,0.03452,3.06693,2.02577,1.84668,0.00191288,0.00191288,0.00191288
13,43.5558,3.208,2.38913,1.90531,0.20068,0.21239,0.11028,0.02605,3.14492,2.01823,1.85971,0.00190496,0.00190496,0.00190496
14,46.0873,3.03896,2.20303,1.84894,0.28686,0.22124,0.17433,0.04539,2.99412,1.85277,1.80817,0.00189704,0.00189704,0.00189704
15,49.1923,3.249,2.13834,1.95627,0.19171,0.25664,0.10814,0.02538,3.15792,1.87334,1.78833,0.00188912,0.00188912,0.00188912
16,51.8468,3.03924,2.06606,1.80929,0.16746,0.29204,0.07558,0.02068,2.94846,2.31992,1.86271,0.0018812,0.0018812,0.0018812
17,54.3985,2.81761,2.02147,1.81571,0.27739,0.30088,0.14508,0.03622,2.76464,1.93882,1.68127,0.00187328,0.00187328,0.00187328
18,56.995,2.82562,1.88547,1.72974,0.2756,0.34679,0.18721,0.05248,2.81012,1.69131,1.68839,0.00186536,0.00186536,0.00186536
19,60.0759,2.77606,1.87353,1.72921,0.33018,0.38053,0.23122,0.06323,2.82485,1.77981,1.68772,0.00185744,0.00185744,0.00185744
20,63.1822,2.76446,1.85515,1.65576,0.28305,0.30973,0.25169,0.07623,2.66114,1.67636,1.65381,0.00184952,0.00184952,0.00184952
21,66.2439,2.78787,1.73655,1.63703,0.26877,0.28319,0.17704,0.05392,2.88759,1.94865,1.75183,0.0018416,0.0018416,0.0018416
22,68.8672,2.54614,1.6943,1.59807,0.29273,0.39823,0.28377,0.09234,2.46563,1.45868,1.60649,0.00183368,0.00183368,0.00183368
23,71.9378,2.57473,1.64894,1.54475,0.33081,0.38938,0.27421,0.08942,2.48656,1.44597,1.54862,0.00182576,0.00182576,0.00182576
24,74.5287,2.66424,1.77746,1.68741,0.51901,0.39153,0.35409,0.0991,2.51185,1.40253,1.54639,0.00181784,0.00181784,0.00181784
25,77.6072,2.66325,1.52973,1.60925,0.39102,0.53414,0.38698,0.11707,2.54296,1.42651,1.51679,0.00180992,0.00180992,0.00180992
26,80.6707,2.61125,1.5902,1.5981,0.32545,0.41593,0.2898,0.08956,2.49879,1.38541,1.50682,0.001802,0.001802,0.001802
27,83.2145,2.67845,1.6402,1.59397,0.3656,0.43861,0.29127,0.08947,2.35684,1.55284,1.49092,0.00179408,0.00179408,0.00179408
28,85.7479,2.39218,1.56763,1.45662,0.42799,0.41055,0.34736,0.11638,2.33846,1.35723,1.42945,0.00178616,0.00178616,0.00178616
29,88.2372,2.55235,1.59587,1.62284,0.41633,0.41593,0.34877,0.11074,2.31528,1.40588,1.44896,0.00177824,0.00177824,0.00177824
30,90.7336,2.34782,1.49179,1.43744,0.39457,0.496,0.28816,0.10336,2.24517,1.50408,1.45059,0.00177032,0.00177032,0.00177032
31,93.1949,2.50977,1.54271,1.59045,0.40484,0.38938,0.29894,0.09046,2.51557,1.39966,1.43599,0.0017624,0.0017624,0.0017624
32,95.7233,2.53371,1.49501,1.51413,0.48663,0.42478,0.3984,0.12115,2.3512,1.33599,1.37715,0.00175448,0.00175448,0.00175448
33,98.7803,2.44015,1.40612,1.48445,0.4268,0.37561,0.33833,0.10793,2.48657,1.48157,1.47637,0.00174656,0.00174656,0.00174656
34,101.29,2.41839,1.5502,1.48821,0.43448,0.32743,0.26269,0.08434,2.44278,1.66185,1.46856,0.00173864,0.00173864,0.00173864
35,103.834,2.37577,1.5044,1.42261,0.37673,0.38053,0.33777,0.11257,2.19642,1.47247,1.41865,0.00173072,0.00173072,0.00173072
36,106.381,2.47474,1.49991,1.46959,0.40219,0.36283,0.32527,0.09706,2.4689,1.37678,1.40751,0.0017228,0.0017228,0.0017228
37,108.906,2.57263,1.36046,1.42164,0.40986,0.43363,0.31219,0.09183,2.46005,1.33368,1.37307,0.00171488,0.00171488,0.00171488
38,111.418,2.45184,1.38512,1.43544,0.52898,0.43363,0.4274,0.15752,2.14964,1.22265,1.34522,0.00170696,0.00170696,0.00170696
39,114.471,2.33728,1.44485,1.34546,0.46997,0.35398,0.32709,0.10283,2.44911,1.30883,1.3421,0.00169904,0.00169904,0.00169904
40,116.999,2.18345,1.34529,1.3021,0.39134,0.52212,0.38106,0.14417,2.07631,1.27471,1.29884,0.00169112,0.00169112,0.00169112
41,119.518,2.17634,1.32228,1.2936,0.5588,0.44248,0.41136,0.15961,2.03804,1.22466,1.2663,0.0016832,0.0016832,0.0016832
42,122.522,2.21268,1.39626,1.33144,0.44552,0.41593,0.3561,0.14401,2.12188,1.28082,1.32659,0.00167528,0.00167528,0.00167528
43,125.068,2.25108,1.34882,1.37853,0.50345,0.42478,0.39218,0.13158,2.23911,1.21893,1.34482,0.00166736,0.00166736,0.00166736
44,127.668,2.29936,1.36002,1.33516,0.39323,0.46018,0.40583,0.14196,2.05936,1.3255,1.32927,0.00165944,0.00165944,0.00165944
45,130.307,2.22204,1.33657,1.36837,0.44081,0.46018,0.35752,0.14033,2.18767,1.27669,1.30191,0.00165152,0.00165152,0.00165152
46,132.813,2.17382,1.39283,1.4106,0.39705,0.53097,0.4227,0.15851,2.12123,1.26096,1.30824,0.0016436,0.0016436,0.0016436
47,135.857,2.17774,1.31884,1.28155,0.38403,0.52416,0.37316,0.12734,2.19904,1.29537,1.33352,0.00163568,0.00163568,0.00163568
48,138.399,2.19831,1.419,1.44225,0.48041,0.42549,0.45153,0.17934,1.93151,1.1974,1.27774,0.00162776,0.00162776,0.00162776
49,141.481,2.15359,1.32712,1.36345,0.43596,0.50442,0.43953,0.15475,2.17411,1.25057,1.27555,0.00161984,0.00161984,0.00161984
50,144.019,2.16072,1.34398,1.28032,0.48375,0.4561,0.42091,0.14961,2.12195,1.26087,1.22019,0.00161192,0.00161192,0.00161192
51,146.633,1.97907,1.249,1.26208,0.59389,0.5306,0.52314,0.15391,2.26791,1.16253,1.26246,0.001604,0.001604,0.001604
52,149.235,2.14227,1.1945,1.2664,0.43071,0.34513,0.31496,0.11114,2.36399,1.31171,1.25447,0.00159608,0.00159608,0.00159608
53,151.829,2.1665,1.27359,1.26996,0.49935,0.45133,0.43324,0.13797,2.23291,1.15454,1.22261,0.00158816,0.00158816,0.00158816
54,154.404,2.16688,1.33841,1.2945,0.45156,0.52212,0.46699,0.1727,1.97737,1.26558,1.24309,0.00158024,0.00158024,0.00158024
55,156.972,1.98262,1.26695,1.25919,0.41865,0.50442,0.47473,0.19733,1.95455,1.17802,1.22459,0.00157232,0.00157232,0.00157232
