epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.92722,121.267,18.9498,0.78918,0.04548,0.24779,0.0269,0.00826,2.4133,25.4664,0.70826,0.0004,0.0004,0.0004
2,8.12581,2.32261,3.34892,0.71623,0.00056,0.06195,0.00031,0.00012,3.57085,1143.61,1.80112,0.000817681,0.000817681,0.000817681
3,10.7937,2.50259,2.17315,0.79639,0.01585,0.30088,0.01031,0.00284,3.08914,157.795,1.04327,0.00123299,0.00123299,0.00123299
4,13.4455,2.52609,1.85178,0.7348,0.00097,0.00885,0.00017,4e-05,4.55939,304.419,2.45444,0.00164592,0.00164592,0.00164592
5,16.1031,2.56944,1.88839,0.81868,0.00032,0.04425,0.00013,3e-05,4.48614,inf,3.32508,0.00197738,0.00197738,0.00197738
6,18.7456,2.39816,1.68277,0.79322,0.00156,0.0531,0.00029,0.00011,3.8268,1552.31,1.49641,0.00197172,0.00197172,0.00197172
7,21.4039,2.42246,1.73775,0.7462,0.00093,0.15929,0.00058,0.0003,2.97646,inf,1.18474,0.00196607,0.00196607,0.00196607
8,24.0769,2.30604,1.50453,0.72924,0.00967,0.47788,0.00601,0.002,2.85376,inf,1.00438,0.00196041,0.00196041,0.00196041
9,26.708,2.12356,1.33866,0.71805,0.0004,0.09735,0.00022,0.00011,2.89978,inf,1.28405,0.00195475,0.00195475,0.00195475
10,29.3315,2.30663,1.33732,0.74559,7e-05,0.0177,4e-05,1e-05,5.19947,inf,3.37653,0.0019491,0.0019491,0.0019491
11,31.9352,2.21089,1.31645,0.73278,0.37495,0.26549,0.19302,0.07094,2.7143,2.01519,0.90181,0.00194344,0.00194344,0.00194344
12,35.1414,2.13813,1.29479,0.72163,0.36707,0.35928,0.30225,0.10917,2.50098,1.59865,0.78122,0.00193779,0.00193779,0.00193779
13,38.2893,2.14958,1.31078,0.72704,0.38601,0.23009,0.23125,0.0839,2.58579,2.12634,0.74838,0.00193213,0.00193213,0.00193213
14,40.9642,1.96943,1.21311,0.67947,0.35691,0.24779,0.2619,0.08955,2.9035,2.2188,0.84593,0.00192648,0.00192648,0.00192648
15,43.6619,1.99809,1.18764,0.69785,0.45335,0.34513,0.27894,0.09841,2.41308,3.51272,0.6938,0.00192082,0.00192082,0.00192082
16,46.3745,1.93451,1.12147,0.67479,0.57015,0.37168,0.39351,0.13068,2.47126,1.30991,0.72306,0.00191516,0.00191516,0.00191516
17,49.5862,2.05202,1.24798,0.68587,0.54087,0.48673,0.46668,0.18215,1.92615,1.08879,0.65558,0.00190951,0.00190951,0.00190951
18,52.7283,104.252,1.08417,0.64836,0.43192,0.46427,0.41777,0.15741,2.01733,1.26256,0.66582,0.00190385,0.00190385,0.00190385
19,55.3462,47.1869,1.14983,0.66377,0.25287,0.38938,0.25685,0.09613,2.62483,2.85333,0.7901,0.0018982,0.0018982,0.0018982
20,58.0709,1.99816,1.32176,0.69595,0.03091,0.18584,0.0126,0.00308,3.15812,13.6464,1.25545,0.00189254,0.00189254,0.00189254
21,60.7984,2.14967,1.25591,0.70214,0.0035,0.38938,0.00238,0.00081,2.73353,441.219,0.79496,0.00188689,0.00188689,0.00188689
22,63.4953,1.9647,1.19141,0.65295,0.44048,0.4598,0.41884,0.17085,2.04823,1.24533,0.67219,0.00188123,0.00188123,0.00188123
23,66.2213,1.74743,1.01615,0.63406,0.47355,0.54867,0.47491,0.19262,2.12972,1.15255,0.67955,0.00187557,0.00187557,0.00187557
