epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.83873,194.997,101.977,2.87473,0,0,0,0,1825.38,90.612,2.02817,0.0004,0.0004,0.0004
2,8.03924,5.13426,89.0051,3.45078,0,0,0,0,1806.67,90.5963,2.05204,0.000816753,0.000816753,0.000816753
3,11.2631,4.31319,42.9884,3.13651,0,0,0,0,1726.94,81.8798,2.18096,0.00123018,0.00123018,0.00123018
4,14.3507,184.168,16.3439,2.95235,0,0,0,0,3.87647,4.22445,84.5306,0.00164028,0.00164028,0.00164028
5,17.4436,4.10825,9.65893,2.86627,0,0,0,0,4.73943,13.4479,2.78519,0.00196832,0.00196832,0.00196832
6,20.5262,3.90947,5.72177,2.62556,4e-05,0.00885,2e-05,1e-05,4.58653,11.7262,2.86798,0.0019604,0.0019604,0.0019604
7,23.6355,165.019,4.1701,2.21755,4e-05,0.00885,2e-05,1e-05,4.5204,6.8424,3.74312,0.00195248,0.00195248,0.00195248
8,26.731,3.76611,3.76603,2.1958,0.00028,0.02655,0.0012,0.00026,4.40789,4.06893,3.18715,0.00194456,0.00194456,0.00194456
9,29.8405,3.67054,3.2258,2.14953,0.06585,0.02655,0.00577,0.00221,3.78175,2.748,2.61666,0.00193664,0.00193664,0.00193664
10,32.916,3.52334,2.88887,2.0349,0.14518,0.15044,0.04362,0.00938,3.6287,2.23394,2.01077,0.00192872,0.00192872,0.00192872
11,35.8827,137.475,2.61811,1.98491,0.19309,0.18584,0.07943,0.01503,3.51118,2.02852,1.94755,0.0019208,0.0019208,0.0019208
12,38.8899,3.45858,2.41726,2.02376,0.23028,0.17699,0.10559,0.02202,3.41192,2.00508,1.88057,0.00191288,0.00191288,0.00191288
13,41.9132,3.28883,2.23257,1.93116,0.20198,0.18584,0.09959,0.022,3.51497,1.82612,1.82229,0.00190496,0.00190496,0.00190496
14,44.4187,3.34969,2.31277,1.91619,0.22136,0.14159,0.0711,0.01847,3.44159,1.99336,1.83924,0.00189704,0.00189704,0.00189704
15,47.0136,3.2673,2.13272,1.9383,0.19902,0.20354,0.09928,0.02267,3.05704,1.80285,1.79031,0.00188912,0.00188912,0.00188912
16,49.5412,3.23713,2.04303,1.85629,0.35808,0.18584,0.15667,0.03489,3.05324,1.70442,1.73748,0.0018812,0.0018812,0.0018812
17,52.5238,115.359,2.00621,1.79027,0.23542,0.23009,0.1185,0.02548,3.068,1.8166,1.73285,0.00187328,0.00187328,0.00187328
18,55.0448,101.168,1.8753,1.73195,0.27929,0.30088,0.24105,0.07396,2.69606,1.63519,1.65352,0.00186536,0.00186536,0.00186536
19,58.1328,84.8671,1.82012,1.79104,0.23789,0.17699,0.14174,0.03665,3.22186,1.82701,1.71053,0.00185744,0.00185744,0.00185744
20,60.7039,3.0189,1.91253,1.72776,0.25363,0.41593,0.20119,0.05852,2.9075,1.73306,1.68835,0.00184952,0.00184952,0.00184952
21,63.2619,3.05598,1.80186,1.71304,0.45619,0.28319,0.28737,0.08389,2.631,1.50571,1.53478,0.0018416,0.0018416,0.0018416
22,66.3826,2.92548,1.77521,1.66633,0.30396,0.32743,0.20786,0.05702,2.70495,1.59038,1.58179,0.00183368,0.00183368,0.00183368
23,68.912,2.73552,1.66076,1.63975,0.29727,0.29204,0.24112,0.07666,2.65513,1.67973,1.56127,0.00182576,0.00182576,0.00182576
24,71.5052,2.74799,1.78276,1.70948,0.30659,0.35607,0.2581,0.07259,2.68786,1.63041,1.62263,0.00181784,0.00181784,0.00181784
25,74.0167,2.77185,1.656,1.56824,0.41252,0.38938,0.30307,0.06588,3.00449,1.60698,1.51062,0.00180992,0.00180992,0.00180992
26,76.5299,2.90516,1.65454,1.62301,0.3624,0.36283,0.21308,0.05013,2.84149,1.49392,1.50917,0.001802,0.001802,0.001802
27,79.0614,2.82626,1.59443,1.62435,0.44425,0.38201,0.33532,0.09784,2.5357,1.42208,1.48598,0.00179408,0.00179408,0.00179408
28,82.0557,65.1301,1.6367,1.51692,0.39637,0.37191,0.33771,0.09842,2.36872,1.39945,1.43442,0.00178616,0.00178616,0.00178616
29,85.0871,2.68212,1.58919,1.64428,0.39675,0.29204,0.26694,0.08126,2.75493,1.62733,1.56024,0.00177824,0.00177824,0.00177824
30,87.687,53.8105,1.46891,1.47117,0.37114,0.30816,0.29297,0.07976,2.63473,1.68685,1.52522,0.00177032,0.00177032,0.00177032
31,90.3309,2.61558,1.5003,1.64418,0.3625,0.36283,0.31089,0.09947,2.63149,1.51101,1.49253,0.0017624,0.0017624,0.0017624
32,92.974,2.72653,1.56378,1.60659,0.34519,0.38053,0.29767,0.08219,2.63977,1.7413,1.45982,0.00175448,0.00175448,0.00175448
33,95.5582,2.54714,1.42225,1.49843,0.46973,0.34493,0.32893,0.09925,2.44257,1.57415,1.4955,0.00174656,0.00174656,0.00174656
34,98.1851,2.43666,1.50532,1.50648,0.42102,0.34109,0.33163,0.12353,2.41606,1.36659,1.45093,0.00173864,0.00173864,0.00173864
35,101.377,2.40333,1.44652,1.46162,0.36408,0.50442,0.36533,0.12913,2.28893,1.33939,1.42282,0.00173072,0.00173072,0.00173072
36,104.457,2.39891,1.44194,1.49746,0.38221,0.47788,0.38639,0.15493,2.24196,1.21234,1.3819,0.0017228,0.0017228,0.0017228
37,107.508,2.37741,1.2996,1.41441,0.5054,0.53097,0.46418,0.14644,2.39641,1.21764,1.35921,0.00171488,0.00171488,0.00171488
38,110.625,2.40957,1.40276,1.43136,0.63721,0.46018,0.49025,0.17833,2.16231,1.20672,1.35432,0.00170696,0.00170696,0.00170696
39,113.754,2.33232,1.39909,1.37654,0.52363,0.46018,0.40346,0.15345,2.24299,1.30605,1.37694,0.00169904,0.00169904,0.00169904
40,116.324,51.6346,1.23779,1.29857,0.26066,0.13274,0.11426,0.03739,3.08991,3.21007,1.69364,0.00169112,0.00169112,0.00169112
41,118.888,2.24112,1.33091,1.33761,0.32956,0.22124,0.18684,0.06575,2.88656,2.56422,1.60771,0.0016832,0.0016832,0.0016832
42,121.487,2.29506,1.45116,1.38665,0.48901,0.35398,0.32562,0.1061,2.29003,1.32259,1.36916,0.00167528,0.00167528,0.00167528
43,124.089,2.36323,1.36728,1.4515,0.38372,0.44248,0.36695,0.12585,2.35792,1.28815,1.38327,0.00166736,0.00166736,0.00166736
44,126.689,2.32561,1.27524,1.36986,0.47948,0.45133,0.41417,0.16042,2.15363,1.24328,1.35771,0.00165944,0.00165944,0.00165944
45,129.313,2.18796,1.258,1.38579,0.52014,0.46018,0.45122,0.17521,2.12742,1.18053,1.30589,0.00165152,0.00165152,0.00165152
46,131.884,2.10863,1.29203,1.35762,0.43287,0.44581,0.42492,0.16974,2.2427,1.24188,1.34334,0.0016436,0.0016436,0.0016436
47,134.499,44.6923,1.22986,1.26739,0.52121,0.53097,0.48181,0.19449,1.95106,1.21479,1.24621,0.00163568,0.00163568,0.00163568
48,137.621,2.42635,1.4931,1.49872,0.42046,0.28319,0.29633,0.0942,2.50229,1.66356,1.43296,0.00162776,0.00162776,0.00162776
49,140.204,2.3606,1.40483,1.43272,0.40628,0.36334,0.31562,0.11296,2.39929,1.51126,1.37179,0.00161984,0.00161984,0.00161984
50,142.736,2.19973,1.32708,1.30406,0.36775,0.22124,0.23357,0.08936,2.59113,2.09194,1.48901,0.00161192,0.00161192,0.00161192
51,145.316,37.9905,1.30459,1.27429,0.59355,0.47816,0.51515,0.18063,2.13809,1.1832,1.2587,0.001604,0.001604,0.001604
52,147.884,2.15567,1.21729,1.30697,0.47357,0.51327,0.47924,0.16325,2.21175,1.18751,1.28261,0.00159608,0.00159608,0.00159608
