epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.50269,1.12177,0.41498,0.6282,0.93716,0.79193,0.91094,0.61464,1.14573,0.42565,0.65835,0.0004,0.0004,0.0004
2,16.9163,1.04236,0.38803,0.6179,0.75063,0.82579,0.84021,0.54964,1.18246,0.4929,0.68439,0.000817681,0.000817681,0.000817681
3,23.7385,1.13806,0.41771,0.61289,0.82166,0.73388,0.83073,0.55833,1.20573,0.51034,0.68499,0.00123299,0.00123299,0.00123299
4,30.4868,1.13507,0.42643,0.62098,0.50141,0.32743,0.31226,0.13995,2.00922,1.42801,0.80018,0.00164591,0.00164591,0.00164591
5,37.2044,1.30165,0.48425,0.64564,0.89255,0.69912,0.85467,0.53149,1.25966,0.49818,0.6743,0.00197737,0.00197737,0.00197737
6,43.9112,1.19259,0.45704,0.62228,0.91732,0.77876,0.90925,0.57041,1.25731,0.44322,0.67475,0.00197171,0.00197171,0.00197171
7,50.6129,1.28367,0.46888,0.6465,0.87893,0.77096,0.86628,0.55498,1.23223,0.49226,0.66211,0.00196606,0.00196606,0.00196606
8,57.0613,1.35502,0.52646,0.66031,0.76415,0.76106,0.82789,0.49094,1.30417,0.58309,0.66777,0.0019604,0.0019604,0.0019604
9,63.4984,1.26529,0.50625,0.64781,0.77514,0.62832,0.71965,0.39337,1.56374,0.59383,0.75205,0.00195474,0.00195474,0.00195474
10,69.9534,1.30149,0.47991,0.6242,0.73583,0.71681,0.7136,0.37262,1.73112,0.71226,0.76697,0.00194909,0.00194909,0.00194909
11,76.38,1.27877,0.49207,0.62689,0.82925,0.64467,0.78333,0.42089,1.52907,0.59065,0.67633,0.00194343,0.00194343,0.00194343
12,82.7496,1.19071,0.4696,0.61989,0.85441,0.76106,0.85506,0.55267,1.24026,0.49165,0.63877,0.00193777,0.00193777,0.00193777
13,89.1524,1.09726,0.51858,0.60125,0.72881,0.37168,0.44903,0.25285,1.80816,1.405,0.79023,0.00193211,0.00193211,0.00193211
14,95.5653,1.20375,0.47563,0.62319,0.8163,0.78761,0.84888,0.55322,1.24468,0.47878,0.65128,0.00192646,0.00192646,0.00192646
15,101.952,1.17506,0.45492,0.60373,0.89417,0.79646,0.89101,0.5773,1.18119,0.4814,0.64186,0.0019208,0.0019208,0.0019208
16,108.422,1.16061,0.49487,0.61784,0.84372,0.65487,0.76623,0.47271,1.37962,0.62103,0.66864,0.00191514,0.00191514,0.00191514
17,114.813,1.19307,0.48357,0.61896,0.83602,0.84956,0.89364,0.58276,1.14106,0.4568,0.63761,0.00190949,0.00190949,0.00190949
18,121.256,1.21934,0.4843,0.62099,0.85912,0.75559,0.82598,0.45747,1.46422,0.5869,0.66524,0.00190383,0.00190383,0.00190383
19,127.974,1.27492,0.4696,0.62718,0.74385,0.6682,0.74698,0.37687,1.59327,0.60135,0.70127,0.00189817,0.00189817,0.00189817
20,134.693,1.18751,0.44483,0.6141,0.83765,0.73451,0.87206,0.55933,1.13907,0.48199,0.64034,0.00189251,0.00189251,0.00189251
21,141.247,1.23223,0.47146,0.62887,0.83103,0.80531,0.86246,0.54345,1.2058,0.478,0.64822,0.00188686,0.00188686,0.00188686
22,147.615,1.13109,0.42202,0.60559,0.83926,0.78553,0.84555,0.5163,1.16746,0.52626,0.63565,0.0018812,0.0018812,0.0018812
23,154.01,1.19002,0.43534,0.62219,0.83482,0.84981,0.88632,0.56611,1.20694,0.46538,0.64841,0.00187554,0.00187554,0.00187554
24,160.409,1.13686,0.43525,0.64105,0.8412,0.79692,0.88978,0.52635,1.36173,0.52172,0.67393,0.00186989,0.00186989,0.00186989
25,166.775,1.19568,0.44448,0.6354,0.88471,0.72566,0.84365,0.49078,1.41038,0.51964,0.65525,0.00186423,0.00186423,0.00186423
26,173.138,1.17596,0.43275,0.63383,0.91945,0.80808,0.87825,0.52046,1.27731,0.47973,0.63654,0.00185857,0.00185857,0.00185857
27,179.521,1.15848,0.42363,0.61342,0.93947,0.76991,0.86449,0.54707,1.23579,0.52238,0.66445,0.00185291,0.00185291,0.00185291
28,185.92,1.20056,0.43969,0.60346,0.93015,0.77876,0.91349,0.56534,1.24997,0.45609,0.62489,0.00184726,0.00184726,0.00184726
29,192.323,1.20134,0.44251,0.59714,0.91746,0.78697,0.90233,0.58542,1.12265,0.46169,0.62012,0.0018416,0.0018416,0.0018416
30,198.731,1.14827,0.42247,0.60956,0.90164,0.73451,0.85573,0.5512,1.21978,0.57485,0.6536,0.00183594,0.00183594,0.00183594
31,205.125,1.11575,0.43613,0.6206,0.86613,0.85886,0.92848,0.5928,1.16151,0.43428,0.64619,0.00183029,0.00183029,0.00183029
32,211.497,1.13388,0.42103,0.60444,0.83237,0.88496,0.94138,0.58183,1.16307,0.42196,0.62803,0.00182463,0.00182463,0.00182463
33,217.935,1.11116,0.43357,0.60555,0.78492,0.81416,0.8619,0.51028,1.31742,0.49661,0.63151,0.00181897,0.00181897,0.00181897
34,224.331,1.15248,0.43495,0.60676,0.89555,0.85841,0.94358,0.59035,1.21283,0.42147,0.63474,0.00181331,0.00181331,0.00181331
35,230.766,1.10644,0.43484,0.60203,0.83267,0.85841,0.92297,0.59039,1.14597,0.43677,0.64751,0.00180766,0.00180766,0.00180766
36,237.155,1.13544,0.43486,0.59252,0.90742,0.78062,0.92114,0.59071,1.16724,0.45291,0.62894,0.001802,0.001802,0.001802
37,243.546,1.13014,0.44708,0.6058,0.84231,0.82301,0.93148,0.58872,1.14461,0.44563,0.61747,0.00179634,0.00179634,0.00179634
38,249.9,1.21358,0.43318,0.60682,0.84154,0.77876,0.87135,0.52929,1.27665,0.51116,0.64499,0.00179069,0.00179069,0.00179069
39,256.257,1.1844,0.44037,0.61998,0.69145,0.62832,0.63738,0.37,1.50754,0.79268,0.69261,0.00178503,0.00178503,0.00178503
40,262.64,1.14558,0.41354,0.62882,0.78733,0.84956,0.8731,0.54712,1.22269,0.47333,0.6454,0.00177937,0.00177937,0.00177937
41,269.009,1.11008,0.43751,0.60782,0.88734,0.75221,0.85983,0.58735,1.13419,0.55031,0.63172,0.00177371,0.00177371,0.00177371
42,275.381,1.11489,0.43169,0.60344,0.85552,0.73362,0.80783,0.51778,1.23409,0.60514,0.64786,0.00176806,0.00176806,0.00176806
43,282.066,1.15319,0.4407,0.61509,0.8056,0.76991,0.85685,0.50741,1.36113,0.51721,0.67934,0.0017624,0.0017624,0.0017624
44,288.799,1.10804,0.43186,0.60092,0.83099,0.69027,0.80583,0.49619,1.33241,0.56179,0.65709,0.00175674,0.00175674,0.00175674
45,295.503,1.09612,0.41619,0.59769,0.80353,0.86862,0.89438,0.57327,1.20236,0.47428,0.63798,0.00175109,0.00175109,0.00175109
46,302.218,1.12679,0.417,0.60679,0.87445,0.80128,0.89784,0.57195,1.20147,0.46214,0.63912,0.00174543,0.00174543,0.00174543
47,308.938,1.13518,0.42273,0.60469,0.74563,0.65487,0.73479,0.45027,1.34167,0.67499,0.65593,0.00173977,0.00173977,0.00173977
48,315.672,1.12475,0.42068,0.60754,0.91722,0.76991,0.92949,0.54943,1.27243,0.42359,0.63552,0.00173411,0.00173411,0.00173411
49,322.386,1.11866,0.41785,0.60301,0.85665,0.79328,0.91641,0.58626,1.17822,0.43588,0.62554,0.00172846,0.00172846,0.00172846
50,329.091,1.08977,0.39528,0.59593,0.83962,0.74336,0.82992,0.5262,1.3015,0.55103,0.65582,0.0017228,0.0017228,0.0017228
51,335.773,1.06309,0.38234,0.60086,0.82661,0.83186,0.90095,0.57828,1.20024,0.41357,0.63489,0.00171714,0.00171714,0.00171714
52,342.483,1.026,0.41428,0.60557,0.89583,0.80531,0.88508,0.53446,1.25537,0.49687,0.61432,0.00171149,0.00171149,0.00171149
53,349.197,1.12633,0.40658,0.60751,0.92745,0.88496,0.94215,0.60027,1.15823,0.42869,0.62631,0.00170583,0.00170583,0.00170583
54,355.931,1.14597,0.43326,0.61009,0.87948,0.82301,0.922,0.62721,1.07469,0.41205,0.61568,0.00170017,0.00170017,0.00170017
55,363.149,1.11551,0.40653,0.60242,0.83491,0.89514,0.90946,0.59313,1.16789,0.43912,0.63974,0.00169451,0.00169451,0.00169451
56,369.853,1.16434,0.41658,0.6001,0.77098,0.77459,0.81216,0.41684,1.63963,0.61066,0.65026,0.00168886,0.00168886,0.00168886
57,376.55,1.14408,0.42527,0.60456,0.86946,0.67257,0.80154,0.49819,1.29554,0.57733,0.65381,0.0016832,0.0016832,0.0016832
58,383.27,1.11766,0.40909,0.60919,0.92003,0.81448,0.92063,0.59266,1.13608,0.41249,0.63591,0.00167754,0.00167754,0.00167754
59,389.976,1.06386,0.39624,0.60132,0.86887,0.76227,0.87498,0.5408,1.2957,0.49809,0.6474,0.00167189,0.00167189,0.00167189
60,396.734,1.08608,0.4167,0.59867,0.86825,0.88496,0.91754,0.6117,1.15454,0.41878,0.63676,0.00166623,0.00166623,0.00166623
61,403.487,1.10555,0.39565,0.60825,0.85142,0.8621,0.91946,0.59579,1.13845,0.42405,0.63562,0.00166057,0.00166057,0.00166057
62,410.255,1.13946,0.39721,0.60848,0.82548,0.84071,0.89918,0.58071,1.27511,0.46603,0.63493,0.00165491,0.00165491,0.00165491
63,417.027,1.15051,0.41488,0.60658,0.89656,0.78761,0.90319,0.59809,1.11969,0.4488,0.63843,0.00164926,0.00164926,0.00164926
64,423.807,1.0289,0.37971,0.584,0.89992,0.87531,0.93002,0.59916,1.16434,0.39543,0.64887,0.0016436,0.0016436,0.0016436
65,430.592,1.105,0.41746,0.59246,0.9263,0.87611,0.94877,0.61725,1.12488,0.3876,0.63368,0.00163794,0.00163794,0.00163794
66,437.369,1.08142,0.39868,0.58672,0.91405,0.84704,0.94421,0.57963,1.24022,0.42626,0.63111,0.00163229,0.00163229,0.00163229
67,444.132,1.11504,0.41624,0.61148,0.91065,0.83186,0.93611,0.59807,1.19043,0.42161,0.63665,0.00162663,0.00162663,0.00162663
68,450.914,1.0478,0.39043,0.60428,0.8729,0.69027,0.80369,0.47694,1.33583,0.60014,0.68147,0.00162097,0.00162097,0.00162097
69,457.686,1.04649,0.38709,0.59672,0.92289,0.85841,0.94346,0.62645,1.1533,0.39371,0.62231,0.00161531,0.00161531,0.00161531
70,464.982,1.07186,0.40111,0.5932,0.8832,0.80306,0.89104,0.55472,1.2743,0.44643,0.64281,0.00160966,0.00160966,0.00160966
71,471.74,1.06114,0.39917,0.60146,0.87084,0.82301,0.91642,0.57849,1.19879,0.43211,0.62846,0.001604,0.001604,0.001604
72,478.514,1.06588,0.38442,0.58702,0.80711,0.7406,0.81632,0.49168,1.32729,0.56551,0.6609,0.00159834,0.00159834,0.00159834
73,485.262,1.16989,0.40722,0.59281,0.89426,0.82329,0.92965,0.56445,1.20405,0.41713,0.6245,0.00159269,0.00159269,0.00159269
74,492.02,1.1325,0.40541,0.60164,0.90854,0.84071,0.90583,0.56857,1.19293,0.43929,0.61974,0.00158703,0.00158703,0.00158703
75,498.757,1.12023,0.39493,0.58485,0.88891,0.89381,0.9334,0.61575,1.07606,0.38607,0.61016,0.00158137,0.00158137,0.00158137
76,505.512,1.11562,0.40237,0.58957,0.87471,0.89381,0.93392,0.63099,1.0321,0.39291,0.61301,0.00157571,0.00157571,0.00157571
77,512.779,1.13639,0.39823,0.57742,0.92857,0.83186,0.94258,0.60662,1.12692,0.41482,0.62331,0.00157006,0.00157006,0.00157006
78,519.529,1.12663,0.4004,0.58516,0.90276,0.82163,0.923,0.59518,1.10819,0.42599,0.63811,0.0015644,0.0015644,0.0015644
79,526.275,1.09124,0.39833,0.59623,0.81529,0.72566,0.80131,0.43364,1.6037,0.58155,0.64766,0.00155874,0.00155874,0.00155874
80,533.051,1.04922,0.38788,0.59292,0.91762,0.83186,0.91066,0.59616,1.16044,0.43526,0.60856,0.00155309,0.00155309,0.00155309
81,539.828,1.0296,0.39229,0.57759,0.88495,0.84956,0.92344,0.62681,1.0757,0.42449,0.61997,0.00154743,0.00154743,0.00154743
82,546.571,1.03854,0.40427,0.60299,0.84814,0.86726,0.92541,0.57782,1.18923,0.43101,0.62557,0.00154177,0.00154177,0.00154177
83,553.335,1.01907,0.38595,0.58722,0.86485,0.77876,0.87155,0.54231,1.21569,0.54764,0.65013,0.00153611,0.00153611,0.00153611
84,560.096,1.045,0.39328,0.59108,0.94403,0.86726,0.94075,0.61219,1.07984,0.4291,0.61723,0.00153046,0.00153046,0.00153046
85,566.846,1.07131,0.38579,0.59352,0.94397,0.81416,0.90369,0.5768,1.10252,0.43951,0.62218,0.0015248,0.0015248,0.0015248
86,573.605,1.06713,0.38559,0.59798,0.95734,0.88496,0.94055,0.6123,1.13372,0.40239,0.6255,0.00151914,0.00151914,0.00151914
87,580.362,1.05524,0.38499,0.59482,0.87338,0.80531,0.88262,0.50721,1.39114,0.46187,0.67255,0.00151349,0.00151349,0.00151349
