epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93609,4.10528,101.779,2.89428,0,0,0,0,2.88181,90.6121,2.02781,0.0004,0.0004,0.0004
2,9.57484,5.06663,89.2608,3.24036,0,0,0,0,2.87354,90.6978,2.02445,0.000816753,0.000816753,0.000816753
3,13.189,4.31154,35.5144,3.21906,0,0,0,0,2.76457,78.2108,1.96289,0.00123018,0.00123018,0.00123018
4,16.259,4.01132,15.4902,2.89475,0,0,0,0,2.02943,2.41589,11.6245,0.00164028,0.00164028,0.00164028
5,19.2677,4.05533,8.71432,2.59558,0,0,0,0,nan,nan,nan,0.00196832,0.00196832,0.00196832
6,22.2847,4.19711,6.25497,2.63615,0,0,0,0,0,0.25977,0,0.0019604,0.0019604,0.0019604
7,25.211,3.76919,4.57613,2.36603,0.00118,0.00885,0.001,0.0001,2.77124,2.37109,1.20091,0.00195248,0.00195248,0.00195248
8,28.2034,3.67337,3.52836,2.27322,0.00118,0.00885,0.001,0.0001,0,5.96094,0,0.00194456,0.00194456,0.00194456
9,31.2529,3.5874,3.05002,2.1301,0.00118,0.00885,0.001,0.0001,2.06004,1.47146,3.99204,0.00193664,0.00193664,0.00193664
10,34.3369,3.48307,2.78516,2.04672,0.08268,0.09735,0.02167,0.00353,3.79495,2.5358,2.15108,0.00192872,0.00192872,0.00192872
11,37.42,3.23775,2.48108,1.94751,0.17357,0.18584,0.06353,0.01453,3.36091,1.96431,1.94627,0.0019208,0.0019208,0.0019208
12,40.4958,3.20383,2.3188,1.9486,0.16559,0.20354,0.0828,0.01906,3.31046,2.74698,1.80094,0.00191288,0.00191288,0.00191288
13,43.4943,3.24979,2.28394,1.88755,0.26043,0.28319,0.15038,0.03411,3.0304,1.94948,1.73783,0.00190496,0.00190496,0.00190496
14,46.513,3.21363,2.24563,1.83865,0.20102,0.23009,0.08037,0.01742,3.32619,2.07638,1.80246,0.00189704,0.00189704,0.00189704
15,48.999,3.16478,2.14492,1.90385,0.19561,0.18584,0.08781,0.01829,3.46785,2.03347,1.99962,0.00188912,0.00188912,0.00188912
16,51.5214,3.25718,2.12589,1.85309,0.20808,0.15929,0.10463,0.03555,3.06885,1.77284,1.76652,0.0018812,0.0018812,0.0018812
17,54.0728,2.89781,1.91903,1.78491,0.19552,0.23009,0.10676,0.03077,2.83622,2.20131,1.67065,0.00187328,0.00187328,0.00187328
18,56.5302,2.91339,1.81484,1.71514,0.2916,0.23894,0.18816,0.05352,2.86321,1.74647,1.66214,0.00186536,0.00186536,0.00186536
19,59.5648,2.76215,1.854,1.72263,0.21567,0.21415,0.12555,0.03469,3.22103,1.81931,1.70626,0.00185744,0.00185744,0.00185744
20,62.1288,2.96106,1.94828,1.68039,0.24423,0.29204,0.17128,0.05214,2.84336,2.05844,1.616,0.00184952,0.00184952,0.00184952
21,64.6821,2.97224,1.80709,1.6905,0.33393,0.34513,0.26078,0.07715,2.74404,1.7338,1.64172,0.0018416,0.0018416,0.0018416
22,67.7235,2.77203,1.75793,1.62993,0.29933,0.34513,0.18727,0.04539,3.01485,1.64504,1.62684,0.00183368,0.00183368,0.00183368
23,70.207,2.70978,1.73519,1.60496,0.29881,0.45133,0.24424,0.06874,2.58879,1.56998,1.60735,0.00182576,0.00182576,0.00182576
24,72.7522,2.61954,1.75761,1.6716,0.29436,0.32743,0.23055,0.07247,2.70947,1.492,1.59187,0.00181784,0.00181784,0.00181784
25,75.232,2.5907,1.55246,1.56178,0.4311,0.35398,0.3632,0.09862,2.63214,1.40501,1.51151,0.00180992,0.00180992,0.00180992
26,78.1855,2.70999,1.54291,1.55653,0.48691,0.40313,0.34843,0.09475,2.64718,1.43675,1.52929,0.001802,0.001802,0.001802
27,80.9248,2.73016,1.64313,1.57719,0.43608,0.34903,0.26747,0.08456,2.63351,1.57866,1.51354,0.00179408,0.00179408,0.00179408
28,84.0272,2.47661,1.51563,1.46608,0.33403,0.46018,0.31582,0.10543,2.41682,1.40894,1.47365,0.00178616,0.00178616,0.00178616
29,87.5241,2.62929,1.58003,1.62152,0.4012,0.43285,0.34141,0.11051,2.45946,1.36604,1.49398,0.00177824,0.00177824,0.00177824
30,91.014,2.45669,1.45805,1.44285,0.41628,0.41593,0.37704,0.1222,2.36989,1.37675,1.40014,0.00177032,0.00177032,0.00177032
31,94.5494,2.53678,1.52846,1.57573,0.47951,0.35874,0.31049,0.10345,2.43297,1.43052,1.43242,0.0017624,0.0017624,0.0017624
32,97.5403,2.44835,1.50696,1.49874,0.51068,0.43363,0.36791,0.10356,2.50563,1.4275,1.43057,0.00175448,0.00175448,0.00175448
33,100.334,2.54852,1.42186,1.45751,0.44251,0.37168,0.30328,0.09627,2.5888,1.37442,1.4858,0.00174656,0.00174656,0.00174656
34,102.893,2.46125,1.56626,1.49558,0.41248,0.38938,0.36555,0.11381,2.33471,1.36162,1.36955,0.00173864,0.00173864,0.00173864
35,105.532,2.33454,1.43452,1.40982,0.43197,0.42478,0.33553,0.12228,2.22935,1.39076,1.31938,0.00173072,0.00173072,0.00173072
36,108.198,2.34137,1.48998,1.42384,0.54463,0.36283,0.3748,0.10139,2.53879,1.35935,1.38342,0.0017228,0.0017228,0.0017228
37,110.77,2.32059,1.39324,1.35414,0.44343,0.43363,0.33527,0.1101,2.33365,1.39065,1.33129,0.00171488,0.00171488,0.00171488
38,113.4,2.29945,1.48297,1.37446,0.48032,0.37168,0.37178,0.12206,2.3057,1.37495,1.35285,0.00170696,0.00170696,0.00170696
39,116.436,2.32079,1.39245,1.33001,0.63447,0.44548,0.4693,0.16526,2.23381,1.24075,1.31199,0.00169904,0.00169904,0.00169904
40,119.961,2.14168,1.35905,1.24771,0.45023,0.40708,0.33773,0.1204,2.43923,1.31488,1.40011,0.00169112,0.00169112,0.00169112
41,124.068,2.30827,1.32543,1.30575,0.5171,0.49558,0.43768,0.12594,2.54482,1.3556,1.39927,0.0016832,0.0016832,0.0016832
42,131.611,2.33954,1.56691,1.38649,0.47821,0.46018,0.41494,0.16024,2.19241,1.34725,1.32077,0.00167528,0.00167528,0.00167528
43,136.763,2.27231,1.37393,1.37788,0.43675,0.46018,0.4081,0.15411,2.24549,1.30876,1.31911,0.00166736,0.00166736,0.00166736
44,144.79,2.1146,1.32342,1.27992,0.52591,0.42478,0.41336,0.14673,2.19275,1.25288,1.30455,0.00165944,0.00165944,0.00165944
45,150.145,2.18577,1.32421,1.33888,0.57707,0.39847,0.43893,0.16745,2.06838,1.21997,1.28402,0.00165152,0.00165152,0.00165152
46,158.808,2.12787,1.296,1.32538,0.65973,0.32602,0.44256,0.1677,2.112,1.2078,1.29609,0.0016436,0.0016436,0.0016436
47,163.503,2.05136,1.29949,1.22767,0.37706,0.43363,0.44159,0.16921,2.26622,1.26748,1.33941,0.00163568,0.00163568,0.00163568
48,171.758,2.24526,1.47257,1.43095,0.54585,0.31858,0.40628,0.15228,2.23398,1.38012,1.36061,0.00162776,0.00162776,0.00162776
49,175.434,2.18511,1.35917,1.33025,0.40791,0.51327,0.3123,0.09495,2.25352,1.56856,1.29027,0.00161984,0.00161984,0.00161984
50,181.248,2.05616,1.32688,1.24512,0.55049,0.39016,0.41558,0.13173,2.32761,1.27569,1.31179,0.00161192,0.00161192,0.00161192
51,184.088,1.93956,1.24025,1.23727,0.55584,0.47788,0.47677,0.17911,2.06792,1.30024,1.25974,0.001604,0.001604,0.001604
52,191.788,2.00839,1.20845,1.21918,0.46846,0.50442,0.46636,0.18872,2.02401,1.24499,1.2494,0.00159608,0.00159608,0.00159608
53,195.268,2.06397,1.25128,1.26732,0.54184,0.47788,0.5406,0.2207,1.9552,1.19222,1.20007,0.00158816,0.00158816,0.00158816
54,201.381,2.04688,1.25727,1.22195,0.47258,0.54867,0.5131,0.17972,2.0282,1.12319,1.2012,0.00158024,0.00158024,0.00158024
55,204.867,1.91949,1.18493,1.24382,0.41925,0.42478,0.39206,0.1444,2.06708,1.39459,1.24661,0.00157232,0.00157232,0.00157232
56,212.742,1.99539,1.27349,1.30554,0.49928,0.41593,0.42297,0.13994,2.25591,1.23253,1.25331,0.0015644,0.0015644,0.0015644
57,218.134,1.94955,1.22283,1.29099,0.49103,0.49519,0.4502,0.16411,2.09296,1.19256,1.26102,0.00155648,0.00155648,0.00155648
58,224.543,1.95975,1.22015,1.22679,0.47456,0.53553,0.49846,0.20918,1.93021,1.1732,1.21509,0.00154856,0.00154856,0.00154856
59,228.931,1.93394,1.20595,1.22772,0.54522,0.49558,0.52152,0.21961,1.83284,1.14385,1.17534,0.00154064,0.00154064,0.00154064
60,232.732,1.91965,1.20816,1.23226,0.6117,0.49558,0.52992,0.21922,1.91361,1.16448,1.19746,0.00153272,0.00153272,0.00153272
61,241.336,1.78419,1.17663,1.15848,0.59703,0.56637,0.5789,0.2391,1.94,1.10452,1.15079,0.0015248,0.0015248,0.0015248
62,246.031,1.97113,1.11756,1.21387,0.52347,0.51327,0.51391,0.19251,2.01778,1.07662,1.16081,0.00151688,0.00151688,0.00151688
63,252.881,2.09466,1.18248,1.27261,0.49475,0.50442,0.51581,0.23198,1.9057,1.11232,1.17728,0.00150896,0.00150896,0.00150896
64,256.359,1.9044,1.17301,1.20288,0.51659,0.50124,0.49003,0.21806,1.78945,1.11244,1.17326,0.00150104,0.00150104,0.00150104
65,260.114,1.97344,1.15496,1.25647,0.60721,0.56637,0.57003,0.24949,1.78346,1.02134,1.16426,0.00149312,0.00149312,0.00149312
66,267.481,1.83005,1.11581,1.18152,0.75049,0.45133,0.56481,0.2543,1.73347,1.0659,1.11701,0.0014852,0.0014852,0.0014852
67,270.875,1.85541,1.11597,1.12566,0.57077,0.59292,0.53698,0.25458,1.74448,1.1493,1.16581,0.00147728,0.00147728,0.00147728
68,277.928,1.83966,1.13855,1.19419,0.597,0.5244,0.56342,0.25967,1.77213,1.09232,1.14269,0.00146936,0.00146936,0.00146936
69,282.103,1.9095,1.16218,1.20485,0.63728,0.51309,0.53656,0.21049,1.98583,1.03723,1.14455,0.00146144,0.00146144,0.00146144
70,287.228,1.8465,1.10296,1.16357,0.57078,0.52957,0.57787,0.28492,1.70867,1.04451,1.13252,0.00145352,0.00145352,0.00145352
71,291.354,1.81375,1.04992,1.13517,0.5533,0.61947,0.57131,0.23441,1.76952,1.01481,1.13297,0.0014456,0.0014456,0.0014456
72,299.969,1.74587,1.14475,1.13619,0.63186,0.54867,0.58886,0.24915,1.83695,1.04023,1.14629,0.00143768,0.00143768,0.00143768
73,304.644,1.74332,1.09378,1.17331,0.64738,0.55752,0.5971,0.24807,1.77814,1.15766,1.1288,0.00142976,0.00142976,0.00142976
74,311.474,1.68999,1.10673,1.1521,0.66544,0.49558,0.56799,0.24698,1.88203,1.03079,1.13974,0.00142184,0.00142184,0.00142184
75,314.655,1.78243,1.09094,1.16218,0.51049,0.58407,0.55144,0.2478,1.73289,1.06214,1.11098,0.00141392,0.00141392,0.00141392
76,322.313,1.7697,1.07205,1.14577,0.42526,0.53982,0.46649,0.19531,1.93406,1.15579,1.12894,0.001406,0.001406,0.001406
77,326.703,1.94553,1.1622,1.14227,0.53207,0.41593,0.47409,0.20274,1.85603,1.06191,1.14067,0.00139808,0.00139808,0.00139808
78,330.037,1.83401,1.1639,1.15816,0.44983,0.58609,0.52398,0.21988,1.87439,1.09571,1.15222,0.00139016,0.00139016,0.00139016
79,338.747,1.66786,1.08897,1.13419,0.6602,0.51585,0.59021,0.26891,1.67005,0.99104,1.0961,0.00138224,0.00138224,0.00138224
80,342.539,1.67902,1.04695,1.11824,0.60081,0.57522,0.64381,0.30584,1.66035,0.9667,1.10474,0.00137432,0.00137432,0.00137432
81,347.728,1.65487,1.1021,1.0669,0.66347,0.45133,0.52821,0.24129,1.89434,1.1289,1.18966,0.0013664,0.0013664,0.0013664
82,351.226,1.81485,1.08929,1.13496,0.69075,0.47788,0.58364,0.30352,1.60543,0.97816,1.0791,0.00135848,0.00135848,0.00135848
83,359.639,1.80633,1.06796,1.09867,0.52773,0.56368,0.53482,0.24112,1.80858,1.02935,1.1361,0.00135056,0.00135056,0.00135056
84,363.763,1.70598,1.02677,1.12505,0.62167,0.46536,0.48304,0.20584,1.87486,1.08172,1.17956,0.00134264,0.00134264,0.00134264
85,368.765,1.63924,0.98956,1.13273,0.68592,0.57982,0.61319,0.24766,1.94721,1.03778,1.14218,0.00133472,0.00133472,0.00133472
86,371.77,1.64542,1.00457,1.04003,0.6952,0.53097,0.61695,0.28774,1.6803,0.98214,1.08934,0.0013268,0.0013268,0.0013268
87,376.776,1.62958,0.97175,1.05965,0.68953,0.47172,0.57155,0.26114,1.83021,0.95605,1.08633,0.00131888,0.00131888,0.00131888
88,381.449,1.66555,0.97403,1.07867,0.67552,0.46018,0.59004,0.30368,1.51426,0.97656,1.07057,0.00131096,0.00131096,0.00131096
89,385.881,1.6956,1.02173,1.123,0.67371,0.49558,0.60594,0.31195,1.51086,0.96308,1.06802,0.00130304,0.00130304,0.00130304
90,389.714,1.57326,1.01236,1.12062,0.5912,0.49558,0.57344,0.26839,1.64222,1.04079,1.13866,0.00129512,0.00129512,0.00129512
91,396.913,1.64103,0.95893,1.08898,0.72034,0.52428,0.60458,0.28287,1.64062,0.95787,1.10523,0.0012872,0.0012872,0.0012872
92,400.616,1.64497,1.00586,1.08591,0.66717,0.53982,0.61795,0.28938,1.63803,0.96096,1.10421,0.00127928,0.00127928,0.00127928
93,403.663,1.78269,1.04643,1.118,0.56591,0.53097,0.53775,0.27531,1.55154,1.03807,1.07253,0.00127136,0.00127136,0.00127136
94,408.418,1.61566,1.02369,1.07719,0.5026,0.52212,0.54473,0.29224,1.47451,1.05354,1.06583,0.00126344,0.00126344,0.00126344
