epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.095,1.52794,1.55987,0.7598,0.78694,0.7191,0.82097,0.43133,1.60098,1.65973,0.7808,0.00133,0.00133,0.00133
2,20.1383,1.66024,1.77246,0.84317,0.45623,0.55752,0.42962,0.16527,2.28715,2.75924,1.11317,0.00271574,0.00271574,0.00271574
3,32.5473,1.86523,1.93763,0.8723,0.25728,0.09507,0.05524,0.01228,3.63958,5.06627,2.52396,0.00409045,0.00409045,0.00409045
4,39.7637,1.94674,1.99797,0.91988,0.42217,0.37168,0.25908,0.07873,2.74772,3.39437,1.2977,0.00545414,0.00545414,0.00545414
5,46.8467,2.23412,2.50097,1.05588,0.17669,0.0354,0.01318,0.00402,3.79577,7.78709,1.88454,0.006545,0.006545,0.006545
6,53.9952,2.11608,2.3316,0.97138,0.45303,0.11504,0.08761,0.03022,3.38681,5.57221,1.88678,0.00651875,0.00651875,0.00651875
7,61.1818,2.17911,2.39365,0.94748,0.26326,0.14159,0.08682,0.02893,2.98633,5.12273,1.78457,0.0064925,0.0064925,0.0064925
8,68.3248,2.16044,2.21045,0.99378,0.26326,0.14159,0.08682,0.02893,0,0,0,0.00646625,0.00646625,0.00646625
9,75.4888,1.91637,2.20591,0.94487,0.26326,0.14159,0.08682,0.02893,1.20752,3.18777,0.90887,0.00644,0.00644,0.00644
10,82.6067,1.978,2.04688,0.89588,0.50678,0.56637,0.4814,0.1986,1.99131,2.36148,0.9252,0.00641376,0.00641376,0.00641376
11,89.486,1.95454,1.97936,0.89626,0.51205,0.57522,0.50938,0.21047,2.05819,2.43664,0.91339,0.00638751,0.00638751,0.00638751
12,96.3621,1.96713,1.97424,0.87207,0.49803,0.45133,0.41462,0.18518,2.12234,3.41558,0.92871,0.00636126,0.00636126,0.00636126
13,103.172,1.82734,1.86329,0.8532,0.58512,0.46018,0.49944,0.26323,1.86129,2.90853,0.86609,0.00633501,0.00633501,0.00633501
14,109.996,1.71929,1.75844,0.82748,0.78116,0.65487,0.74031,0.36098,1.69189,1.79848,0.79934,0.00630876,0.00630876,0.00630876
15,116.798,1.74128,1.75435,0.81307,0.52156,0.39823,0.40989,0.17006,2.29526,2.80559,1.04774,0.00628251,0.00628251,0.00628251
16,123.635,1.82592,1.92265,0.84838,0.61353,0.51982,0.55943,0.25229,1.98565,2.22421,0.91407,0.00625626,0.00625626,0.00625626
17,130.439,1.78534,1.81267,0.85984,0.72555,0.66372,0.74084,0.37305,1.70389,1.73879,0.86531,0.00623001,0.00623001,0.00623001
18,137.237,1.80621,1.82502,0.82025,0.68476,0.56637,0.62646,0.31568,1.72911,2.00813,0.86408,0.00620376,0.00620376,0.00620376
19,144.033,1.70199,1.75807,0.8031,0.65576,0.67257,0.65196,0.29318,1.78184,1.8444,0.85267,0.00617751,0.00617751,0.00617751
20,150.864,1.67077,1.68017,0.85746,0.45712,0.38938,0.39111,0.18452,2.20922,3.16821,0.98639,0.00615126,0.00615126,0.00615126
21,157.728,1.76839,1.62974,0.79346,0.76403,0.66372,0.75147,0.40726,1.53974,1.86036,0.78459,0.00612501,0.00612501,0.00612501
22,164.571,1.69692,1.67154,0.79219,0.69615,0.69912,0.73538,0.39564,1.63478,1.95315,0.79203,0.00609876,0.00609876,0.00609876
23,171.441,1.63114,1.63549,0.79777,0.57658,0.59292,0.58316,0.27858,1.84243,2.30392,0.90047,0.00607251,0.00607251,0.00607251
24,178.319,1.66442,1.59981,0.80699,0.72545,0.64602,0.74522,0.37131,1.76765,1.56545,0.79353,0.00604626,0.00604626,0.00604626
25,185.135,1.64304,1.6198,0.7829,0.66195,0.76106,0.77191,0.40343,1.58447,1.76834,0.80777,0.00602001,0.00602001,0.00602001
