epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.34514,1.29267,0.79195,0.86609,0.87121,0.71681,0.82759,0.44681,1.38345,0.81554,0.8917,0.0004,0.0004,0.0004
2,8.59479,1.50852,0.85447,0.95111,0.72728,0.71681,0.74798,0.36413,1.6113,1.10123,0.92328,0.000816753,0.000816753,0.000816753
3,11.4295,1.60103,0.93259,0.9804,0.72847,0.63717,0.72438,0.36342,1.5735,0.91372,0.91517,0.00123018,0.00123018,0.00123018
4,14.1235,1.64408,0.9469,0.96029,0.64292,0.68142,0.69271,0.35592,1.65891,1.05585,0.99612,0.00164028,0.00164028,0.00164028
5,16.8083,1.69553,1.00575,1.0199,0.74546,0.64794,0.73201,0.35409,1.66173,1.05661,0.96326,0.00196832,0.00196832,0.00196832
6,19.4781,1.61966,0.96939,0.98102,0.68059,0.63717,0.66109,0.30438,1.77147,1.04273,0.95125,0.0019604,0.0019604,0.0019604
7,22.1199,1.71776,1.02217,0.96507,0.73034,0.65487,0.75124,0.35737,1.64196,0.96119,0.94046,0.00195248,0.00195248,0.00195248
8,24.8695,1.58642,0.94529,0.99746,0.65872,0.64602,0.69626,0.31896,1.78914,1.04224,0.9589,0.00194456,0.00194456,0.00194456
9,27.5594,1.61759,0.97519,0.98856,0.68135,0.68123,0.75181,0.37786,1.6528,0.95159,0.94655,0.00193664,0.00193664,0.00193664
10,30.2301,1.59356,0.98265,0.99007,0.66521,0.74336,0.73643,0.35642,1.68182,0.92169,0.95309,0.00192872,0.00192872,0.00192872
11,33.0216,1.63708,0.90064,0.99501,0.76869,0.73522,0.80142,0.39828,1.66335,0.97536,0.95956,0.0019208,0.0019208,0.0019208
12,35.6653,1.56629,0.926,0.99042,0.68138,0.71681,0.72134,0.36105,1.70482,0.94806,0.94328,0.00191288,0.00191288,0.00191288
13,38.4728,1.62459,0.89757,0.99409,0.75467,0.51726,0.59667,0.27136,1.888,1.19276,1.02666,0.00190496,0.00190496,0.00190496
14,41.3114,1.65955,0.91962,0.98912,0.69797,0.72566,0.74576,0.34116,1.70642,0.87972,0.96639,0.00189704,0.00189704,0.00189704
15,43.9691,1.64722,0.9402,1.00975,0.73809,0.5736,0.64687,0.30019,1.82793,1.11402,1.03318,0.00188912,0.00188912,0.00188912
16,46.8583,1.6191,0.92753,0.98564,0.67581,0.55752,0.63218,0.29707,1.79284,1.32278,0.97226,0.0018812,0.0018812,0.0018812
