epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49108,1.33385,0.86507,0.88616,0.74639,0.70324,0.76409,0.43313,1.48377,0.89501,0.92787,0.0004,0.0004,0.0004
2,7.76208,1.56784,0.86081,0.95173,0.75642,0.6321,0.71362,0.32258,1.83642,0.95295,0.97967,0.000816753,0.000816753,0.000816753
3,10.6576,1.5846,0.91337,0.99675,0.657,0.63717,0.66048,0.28807,1.873,0.9594,1.02357,0.00123018,0.00123018,0.00123018
4,13.4288,1.60594,0.96855,0.96464,0.62695,0.68417,0.69422,0.32826,1.77481,0.95617,0.99172,0.00164028,0.00164028,0.00164028
5,16.1933,1.66346,0.95236,0.99844,0.65309,0.63717,0.69634,0.32004,1.78249,1.04337,0.97828,0.00196832,0.00196832,0.00196832
6,18.9069,1.72724,0.95595,0.99231,0.58207,0.53,0.49826,0.21298,2.08805,1.50232,1.0389,0.0019604,0.0019604,0.0019604
7,21.6401,1.62831,0.96947,0.96001,0.59767,0.69027,0.5913,0.27288,1.81088,0.98013,0.97618,0.00195248,0.00195248,0.00195248
8,24.2932,1.65523,0.98714,0.98498,0.52985,0.51327,0.52418,0.21472,1.95274,1.5229,1.04816,0.00194456,0.00194456,0.00194456
9,27.0506,1.67281,0.95287,0.97758,0.64191,0.48673,0.57161,0.28323,1.80806,1.25929,1.00333,0.00193664,0.00193664,0.00193664
10,29.8082,1.69847,1.01527,1.01159,0.71502,0.63717,0.69968,0.35167,1.70046,0.94413,0.95641,0.00192872,0.00192872,0.00192872
11,32.4445,1.78204,0.97411,1.02841,0.70881,0.68933,0.71521,0.31941,1.96565,1.05436,0.97771,0.0019208,0.0019208,0.0019208
12,35.226,1.54679,0.94663,1.00904,0.72756,0.62832,0.66811,0.33818,1.68339,0.96699,0.99247,0.00191288,0.00191288,0.00191288
13,37.9049,1.64026,0.92355,1.01651,0.76538,0.56637,0.65692,0.30355,1.90275,1.05254,1.00161,0.00190496,0.00190496,0.00190496
14,40.631,1.64003,0.98218,0.99754,0.65033,0.41593,0.41209,0.17929,2.18509,1.8456,1.12679,0.00189704,0.00189704,0.00189704
15,43.2918,1.66378,0.97292,1.01645,0.72129,0.41228,0.49085,0.22496,1.97813,1.40909,1.08581,0.00188912,0.00188912,0.00188912
16,45.9953,1.61015,0.91193,0.98706,0.63315,0.69912,0.68995,0.33826,1.79281,1.00645,0.99851,0.0018812,0.0018812,0.0018812
17,48.6327,1.72241,1.04572,0.99462,0.63287,0.63717,0.65813,0.25898,2.02285,1.05502,0.96889,0.00187328,0.00187328,0.00187328
18,51.2169,1.55529,0.95787,0.95747,0.65258,0.7148,0.64487,0.31216,1.79033,1.06929,0.9447,0.00186536,0.00186536,0.00186536
19,53.7574,1.53701,0.87733,0.96605,0.63946,0.70631,0.7062,0.34144,1.7784,0.94827,0.9654,0.00185744,0.00185744,0.00185744
20,56.412,1.71581,1.00863,0.96887,0.76025,0.67257,0.72979,0.33857,1.83134,0.90166,0.96907,0.00184952,0.00184952,0.00184952
21,59.0749,1.68656,0.9347,1.00149,0.75202,0.65487,0.7301,0.32094,1.87908,0.92941,0.97657,0.0018416,0.0018416,0.0018416
22,61.6823,1.6842,0.96619,0.97147,0.69249,0.61062,0.68784,0.31964,1.75502,0.95038,0.96258,0.00183368,0.00183368,0.00183368
23,64.3282,1.60561,0.92652,0.95418,0.70474,0.63371,0.6992,0.3212,1.77353,0.90157,0.96454,0.00182576,0.00182576,0.00182576
24,67.0579,1.65853,0.93428,0.99321,0.84095,0.67257,0.77151,0.35588,1.81433,0.94459,0.96761,0.00181784,0.00181784,0.00181784
25,69.6317,1.63369,0.89843,0.97176,0.76677,0.69027,0.77251,0.36232,1.72659,0.96644,0.95225,0.00180992,0.00180992,0.00180992
26,72.2544,1.65298,0.92907,0.98714,0.77851,0.69912,0.77373,0.36527,1.64626,0.94568,0.94273,0.001802,0.001802,0.001802
27,74.8808,1.60061,0.91525,0.97797,0.71348,0.66372,0.69734,0.33002,1.69464,0.95798,0.94998,0.00179408,0.00179408,0.00179408
28,77.5132,1.6962,0.96969,0.96352,0.76495,0.61947,0.71667,0.37731,1.62311,0.9334,0.94604,0.00178616,0.00178616,0.00178616
29,80.188,1.67092,0.89955,1.00742,0.7706,0.61062,0.74498,0.37637,1.71654,0.91524,0.97043,0.00177824,0.00177824,0.00177824
30,82.8537,1.62725,0.92645,0.96329,0.63713,0.67257,0.66853,0.3242,1.66998,0.94996,0.92367,0.00177032,0.00177032,0.00177032
