fitness,lr0,lrf,momentum,weight_decay,mosaic,mixup,degrees,cls,dfl
0.27152,0.01,0.01,0.937,0.0005,1.0,0.0,0.0,0.5,1.0
0.29729,0.01,0.01006,0.93923,0.0005,1.0,0.0,0.0,0.50314,0.99754
0.27053,0.01017,0.01006,0.97,0.00053,1.0,0.0,0.0,0.49645,0.96489
0.28225,0.00897,0.01053,0.93923,0.00051,0.94867,0.0,0.0,0.59789,0.95722
0.25015,0.00931,0.01006,0.80844,0.0005,0.95902,0.0,0.0,0.50314,0.87505
0.29968,0.0099,0.01,0.93923,0.00047,1.0,0.0,0.0,0.47837,0.99646
0.23306,0.01,0.01,0.97,0.0005,1.0,0.0,0.0,0.47508,1.0
0.25066,0.00949,0.01053,0.97,0.00041,1.0,0.0,0.0,0.60831,0.95722
0.25952,0.00984,0.01004,0.96339,0.00045,1.0,0.0,0.0,0.49004,0.98908
0.28571,0.00972,0.01108,0.93923,0.00055,1.0,0.0,0.0,0.50314,0.97505
0.25209,0.01163,0.012,0.97,0.00045,1.0,0.0,0.0,0.50314,1.0
0.18507,0.01374,0.01006,0.97,0.00046,0.94707,0.0,0.0,0.58966,1.0
0.26161,0.01053,0.01006,0.73566,0.00055,1.0,0.0,0.0,0.53702,1.0
0.25238,0.0096,0.01006,0.94765,0.00052,0.98784,0.0,0.0,0.513,0.99754
0.36957,0.00897,0.01002,0.85921,0.00067,0.91837,0.0,0.0,0.63374,0.95745
0.33622,0.0069,0.01267,0.87741,0.0006,0.83403,0.0,0.0,0.74452,1.0
0.37559,0.00694,0.01267,0.84616,0.00061,0.83403,0.0,0.0,0.75027,0.99273
0.26648,0.00897,0.01057,0.89922,0.00062,1.0,0.0,0.0,0.61082,0.86765
0.32141,0.00693,0.01,0.75627,0.0007,0.91837,0.0,0.0,0.61387,0.93144
0.29482,0.00901,0.01,0.80566,0.00067,0.84512,0.0,0.0,0.67494,0.86536
0.37187,0.00835,0.01,0.78331,0.00066,0.80231,0.0,0.0,0.6154,0.96582
0.32589,0.00694,0.01364,0.80604,0.00058,0.79304,0.0,0.0,0.74056,0.99273
0.37737,0.00694,0.0132,0.84616,0.0005,0.71704,0.0,0.0,0.75027,0.74618
0.38438,0.00654,0.01409,0.89657,0.0005,0.76915,0.0,0.0,0.8009,0.78728
0.3341,0.00702,0.01322,0.85066,0.0005,0.71704,0.0,0.0,0.75027,0.73322
0.34725,0.00683,0.01309,0.84451,0.00051,0.71704,0.0,0.0,0.74359,0.74349
0.25899,0.0063,0.01409,0.89657,0.00051,0.79397,0.0,0.0,0.9064,0.78728
0.33265,0.00663,0.0143,0.89657,0.0005,0.74878,0.0,0.0,0.80104,0.79553
0.39381,0.00665,0.01318,0.85667,0.0006,0.86616,0.0,0.0,0.80177,1.0
0.29397,0.00699,0.01059,0.73691,0.0005,0.69119,0.0,0.0,0.62369,0.74618
0.33967,0.00787,0.01217,0.84302,0.00061,0.83403,0.0,0.0,0.77843,0.99975
0.38662,0.00692,0.01362,0.84616,0.0005,0.71704,0.0,0.0,0.76208,0.70401
0.27696,0.00776,0.01451,0.97,0.0005,0.76915,0.0,0.0,0.65835,0.67308
0.33237,0.0061,0.01571,0.97,0.00064,0.81471,0.0,0.0,0.80215,0.78728
0.33723,0.00718,0.01484,0.90402,0.0005,0.75892,0.0,0.0,0.75206,0.7586
0.34737,0.00786,0.01349,0.85667,0.00072,1.0,0.0,0.0,0.98612,0.80968
0.32126,0.00823,0.01405,0.84616,0.0005,0.6544,0.0,0.0,0.70147,0.70401
0.3377,0.00663,0.01303,0.85879,0.00059,0.86897,0.0,0.0,0.80894,1.0
0.39216,0.00634,0.01374,0.80341,0.0005,0.75562,0.0,0.0,0.8009,0.69426
0.34365,0.00769,0.01457,0.80055,0.00052,0.84431,0.0,0.0,0.73694,0.78877
