fitness,lr0,lrf,momentum,weight_decay,mosaic,mixup,degrees,cls,dfl
0.06486,0.01,0.01,0.937,0.0005,1.0,0.0,0.0,0.5,1.0
0.06062,0.00901,0.01,0.79812,0.00042,1.0,0.0,0.0,0.50282,0.83138
0.05401,0.01,0.01,0.937,0.0005,0.99926,0.0,0.0,0.50006,1.0
0.05945,0.01,0.01238,0.8966,0.00051,1.0,0.0,0.0,0.50861,0.96553
0.09201,0.00901,0.01025,0.79812,0.00043,1.0,0.0,0.0,0.46118,0.96039
0.06985,0.01063,0.01,0.79812,0.00045,1.0,0.0,0.0,0.4517,0.87319
0.07578,0.00981,0.01,0.8249,0.00052,1.0,0.0,0.0,0.43717,0.96673
0.05935,0.00913,0.01024,0.90018,0.00043,0.99259,0.0,0.0,0.44527,0.92758
0.05742,0.01218,0.01,0.79812,0.00049,0.77098,0.0,0.0,0.61558,0.72211
0.07218,0.00901,0.01,0.82384,0.00048,1.0,0.0,0.0,0.44665,1.0
0.03984,0.0095,0.01037,0.76052,0.00043,1.0,0.0,0.0,0.46945,0.95923
0.06948,0.01063,0.01005,0.79487,0.00045,0.9965,0.0,0.0,0.44987,0.86404
0.07574,0.00996,0.01,0.90263,0.00047,1.0,0.0,0.0,0.47895,0.99252
0.0665,0.01274,0.01,0.82822,0.00048,0.9913,0.0,0.0,0.44971,0.91289
0.08738,0.00827,0.01042,0.7,0.00043,1.0,0.0,0.0,0.55099,0.99752
0.06938,0.00846,0.01138,0.77784,0.00054,0.98489,0.0,0.0,0.43717,0.96001
0.06051,0.01262,0.01,0.84343,0.00047,1.0,0.0,0.0,0.52881,0.91648
0.05387,0.00812,0.01015,0.72371,0.00042,1.0,0.0,0.0,0.55099,0.9563
0.04232,0.01008,0.01,0.96263,0.00044,1.0,0.0,0.0,0.47895,1.0
0.06374,0.00827,0.01044,0.74255,0.0004,0.9831,0.0,0.0,0.55635,0.95992
0.06234,0.00927,0.01012,0.94498,0.00057,1.0,0.0,0.0,0.45678,0.84392
0.05942,0.00901,0.01022,0.78872,0.00043,0.99206,0.0,0.0,0.46131,0.96603
0.06602,0.00962,0.01025,0.76031,0.00039,1.0,0.0,0.0,0.42811,0.92798
0.0903,0.00723,0.01127,0.7,0.00043,0.88869,0.0,0.0,0.57854,0.99941
0.05514,0.00685,0.01,0.7,0.0004,0.88806,0.0,0.0,0.5253,0.85032
0.05075,0.00827,0.01035,0.72062,0.00049,0.9747,0.0,0.0,0.54253,0.99752
0.05598,0.00732,0.01064,0.72835,0.00042,0.79235,0.0,0.0,0.57854,1.0
0.06214,0.00855,0.01037,0.7,0.00043,0.96242,0.0,0.0,0.53127,0.99752
0.07665,0.00784,0.0112,0.7,0.00038,0.88869,0.0,0.0,0.57854,0.91468
0.07269,0.00852,0.01521,0.73308,0.00032,0.69546,0.0,0.0,0.6088,0.67984
