fitness,lr0,lrf,momentum,weight_decay,mosaic,cls,dfl
0.33241,0.01,0.01,0.937,0.0005,1.0,0.5,1.0
0.2653,0.01225,0.01,0.937,0.00051,1.0,0.65094,1.0
0.33815,0.01006,0.0138,0.97,0.00053,0.95787,0.48926,1.0
0.35043,0.0093,0.01,0.85622,0.00059,1.0,0.41708,0.9784
0.19511,0.01165,0.01512,0.97,0.00055,1.0,0.4531,0.90354
0.35642,0.00848,0.01,0.97,0.00059,1.0,0.50614,0.9784
0.29777,0.00848,0.01,0.97,0.00059,1.0,0.51172,0.94486
0.36937,0.00843,0.01,0.84837,0.00059,0.82795,0.36405,0.93811
0.38161,0.00816,0.01,0.82437,0.00049,0.91184,0.30069,1.0
0.36062,0.00764,0.01206,0.84837,0.00055,0.82795,0.27974,1.0
