epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.06573,18.6941,108.306,2.78745,0,0,0,0,68.92,90.6654,2.01749,0.0004,0.0004,0.0004
2,11.7494,5.09661,91.4734,3.31046,0,0,0,0,69.2867,90.7436,2.00661,0.000816753,0.000816753,0.000816753
3,17.3535,4.51658,31.5081,3.50151,0,0,0,0,1.91816,5.75441,3.61206,0.00123018,0.00123018,0.00123018
4,22.9198,18.0538,14.4898,3.16455,0,0,0,0,88.125,0,0,0.00164028,0.00164028,0.00164028
5,28.3721,4.1309,6.62151,2.84269,0,0,0,0,158.398,0,0,0.00196832,0.00196832,0.00196832
6,33.8256,4.23274,4.26644,2.63784,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
7,39.3366,16.4266,3.17864,2.21373,0.01136,0.0177,0.00585,0.00058,51.3317,1.48027,3.14315,0.00195248,0.00195248,0.00195248
8,44.848,3.71323,2.89416,2.20207,0.13992,0.14159,0.06127,0.01201,3.53382,2.54697,2.24635,0.00194456,0.00194456,0.00194456
9,50.3128,3.54896,2.56941,2.062,0.13148,0.15044,0.06676,0.01263,3.50063,2.34159,1.92938,0.00193664,0.00193664,0.00193664
10,55.822,3.50068,2.45515,2.09063,0.13491,0.25664,0.05413,0.01423,3.20167,2.43723,1.8873,0.00192872,0.00192872,0.00192872
11,61.347,14.7936,2.26334,1.9027,0.11726,0.14159,0.06594,0.01491,3.37405,2.48422,2.06551,0.0019208,0.0019208,0.0019208
12,66.8457,3.53901,2.20945,2.01034,0.04878,0.10619,0.0363,0.01008,3.71153,3.25427,2.2715,0.00191288,0.00191288,0.00191288
13,71.2627,3.43589,2.18193,1.92583,0.06434,0.06195,0.0319,0.00888,3.43313,2.81662,2.14521,0.00190496,0.00190496,0.00190496
14,75.6638,3.08028,2.04116,1.81857,0.22428,0.12539,0.09891,0.0199,3.34248,2.36809,1.73492,0.00189704,0.00189704,0.00189704
15,81.2048,3.0675,2.03379,1.86942,0.22289,0.27667,0.12801,0.03424,3.01223,1.90651,1.76431,0.00188912,0.00188912,0.00188912
16,86.7156,2.98707,1.92476,1.78617,0.28398,0.19469,0.15526,0.03533,3.09508,1.83717,1.70037,0.0018812,0.0018812,0.0018812
17,92.249,13.5111,1.92106,1.77356,0.09844,0.14159,0.03882,0.00684,3.53229,2.77531,1.80733,0.00187328,0.00187328,0.00187328
18,96.7118,13.2262,1.87627,1.73349,0.15258,0.29204,0.10686,0.02418,3.00997,2.02237,1.76415,0.00186536,0.00186536,0.00186536
19,101.153,11.7416,1.81151,1.66791,0.08611,0.0531,0.01565,0.00401,4.01314,3.45358,2.16158,0.00185744,0.00185744,0.00185744
20,105.607,3.00495,1.87318,1.68887,0.29244,0.37168,0.2432,0.07253,2.86203,1.57663,1.68884,0.00184952,0.00184952,0.00184952
21,111.149,2.84835,1.61364,1.66926,0.32964,0.27434,0.24152,0.07553,2.6488,1.67642,1.61117,0.0018416,0.0018416,0.0018416
22,116.679,2.73008,1.65958,1.62881,0.28973,0.32743,0.17947,0.04738,2.89152,2.20552,1.54147,0.00183368,0.00183368,0.00183368
23,121.052,2.6412,1.62942,1.52188,0.35769,0.26549,0.18386,0.03816,3.06477,2.18109,1.60466,0.00182576,0.00182576,0.00182576
24,125.462,2.64202,1.65509,1.6158,0.53114,0.32743,0.31774,0.08549,2.86036,1.50035,1.54331,0.00181784,0.00181784,0.00181784
25,131.024,2.42872,1.45628,1.48518,0.32268,0.50442,0.34859,0.08994,2.5904,1.40605,1.44183,0.00180992,0.00180992,0.00180992
26,136.488,2.5565,1.45822,1.5212,0.38702,0.30973,0.32717,0.09722,2.60621,1.49522,1.54782,0.001802,0.001802,0.001802
27,141.971,2.4161,1.47518,1.47379,0.56203,0.39823,0.45747,0.13783,2.36174,1.3444,1.41194,0.00179408,0.00179408,0.00179408
28,147.507,2.32609,1.41925,1.36823,0.3525,0.29204,0.24735,0.0891,2.39423,1.9377,1.46373,0.00178616,0.00178616,0.00178616
29,151.931,2.46762,1.49516,1.51311,0.4719,0.30973,0.31015,0.09714,2.49337,1.72726,1.46778,0.00177824,0.00177824,0.00177824
30,156.324,2.28389,1.38512,1.37869,0.60125,0.35398,0.40464,0.1294,2.48004,1.41174,1.41566,0.00177032,0.00177032,0.00177032
