epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.73245,18.2349,101.805,2.89184,0,0,0,0,84.289,90.6121,2.02853,0.0004,0.0004,0.0004
2,7.97198,5.3251,88.1518,3.46614,0,0,0,0,84.4108,90.6902,2.01249,0.000816753,0.000816753,0.000816753
3,11.1814,4.10905,39.3809,3.06577,0,0,0,0,85.2075,80.3001,1.86593,0.00123018,0.00123018,0.00123018
4,14.3237,17.7695,15.903,2.85368,0,0,0,0,3.57505,3.45602,28.4616,0.00164028,0.00164028,0.00164028
5,17.3817,3.97193,8.49133,2.78927,0,0,0,0,206.25,0,0,0.00196832,0.00196832,0.00196832
6,20.5288,3.87127,6.98693,2.58696,0,0,0,0,3.47831,4.81852,73.4811,0.0019604,0.0019604,0.0019604
7,23.6731,17.1463,4.30665,2.2521,0.00291,0.0177,0.00174,0.00043,4.06893,2.61122,4.99264,0.00195248,0.00195248,0.00195248
8,26.8284,3.63864,3.84591,2.18221,0.06648,0.07965,0.01988,0.00392,3.71389,2.48422,2.24449,0.00194456,0.00194456,0.00194456
9,30.0072,3.6322,3.15534,2.07718,0.22394,0.0885,0.07343,0.01572,3.51565,2.19454,2.00623,0.00193664,0.00193664,0.00193664
10,33.222,3.46437,2.91611,2.05896,0.21581,0.20354,0.10851,0.02181,3.13056,1.92601,1.94242,0.00192872,0.00192872,0.00192872
11,36.3596,15.7841,2.5363,1.91119,0.18158,0.16814,0.07329,0.02004,2.97741,2.00916,1.79032,0.0019208,0.0019208,0.0019208
12,39.0593,3.3531,2.3933,1.96796,0.1893,0.21699,0.09648,0.02191,3.33303,1.92725,1.87218,0.00191288,0.00191288,0.00191288
13,41.7143,3.20368,2.30998,1.866,0.18344,0.20354,0.12231,0.02868,3.13313,2.28732,1.75982,0.00190496,0.00190496,0.00190496
14,44.8453,3.05309,2.29889,1.80492,0.2146,0.28319,0.09562,0.02395,3.09223,2.46156,1.7461,0.00189704,0.00189704,0.00189704
15,47.4679,3.05332,2.09047,1.87748,0.23396,0.19469,0.09374,0.02317,3.26214,1.93464,1.84885,0.00188912,0.00188912,0.00188912
16,50.0797,3.1397,2.12465,1.77126,0.29163,0.26549,0.20036,0.05608,2.9916,1.96449,1.70138,0.0018812,0.0018812,0.0018812
17,53.2663,15.0674,2.07171,1.72419,0.21684,0.32743,0.16,0.05045,2.96561,1.74107,1.67968,0.00187328,0.00187328,0.00187328
18,55.9521,14.8079,1.83492,1.67527,0.36173,0.29593,0.23118,0.0712,2.67939,1.7392,1.55035,0.00186536,0.00186536,0.00186536
19,59.1246,14.288,1.81489,1.64228,0.32432,0.32743,0.24602,0.0662,2.78342,1.63928,1.5348,0.00185744,0.00185744,0.00185744
20,61.8343,2.99655,1.837,1.64733,0.31204,0.25664,0.17786,0.03938,2.97214,1.69088,1.69776,0.00184952,0.00184952,0.00184952
21,64.4744,2.9527,1.79839,1.67553,0.47477,0.19202,0.26173,0.07004,2.77616,2.26118,1.65075,0.0018416,0.0018416,0.0018416
22,67.7086,2.75977,1.80321,1.62928,0.36908,0.23894,0.21092,0.05736,2.78549,1.67028,1.62569,0.00183368,0.00183368,0.00183368
23,70.3485,2.63281,1.64709,1.53303,0.24344,0.19469,0.15234,0.04693,2.80398,2.13952,1.64969,0.00182576,0.00182576,0.00182576
24,72.9448,2.74493,1.79515,1.63755,0.21274,0.17699,0.12644,0.03417,3.06928,2.23979,1.6334,0.00181784,0.00181784,0.00181784
25,75.6028,2.79906,1.62017,1.57131,0.36422,0.30088,0.18957,0.05441,2.98874,1.5758,1.54458,0.00180992,0.00180992,0.00180992
26,78.2815,2.74268,1.63042,1.55208,0.35121,0.35398,0.28002,0.07924,2.71846,1.35441,1.47064,0.001802,0.001802,0.001802
