epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.34458,380.539,101.699,2.90797,0,0,0,0,3625.38,90.612,2.02813,0.0004,0.0004,0.0004
2,7.58473,5.13603,89.1147,3.38502,0,0,0,0,3587.9,90.6227,2.03743,0.000818376,0.000818376,0.000818376
3,10.8327,4.43064,47.092,3.15926,0,0,0,0,3435.37,79.0526,2.17735,0.00123509,0.00123509,0.00123509
4,14.0053,368.45,15.3003,2.98082,0,0,0,0,1248.81,0.2832,0.87681,0.00165014,0.00165014,0.00165014
5,17.0629,3.93745,9.26323,2.69488,0,0,0,0,3840,0,0,0.00198416,0.00198416,0.00198416
6,20.1434,3.82143,5.83992,2.49598,0,0,0,0,nan,nan,nan,0.0019802,0.0019802,0.0019802
7,23.1959,316.805,4.41777,2.28588,0,0,0,0,nan,nan,nan,0.00197624,0.00197624,0.00197624
8,26.2297,3.82985,3.71718,2.28928,0,0,0,0,6087.5,0.04232,0,0.00197228,0.00197228,0.00197228
9,29.3506,3.58494,3.21879,2.07361,0.07601,0.0177,0.00488,0.00165,4.1839,2.80207,2.72957,0.00196832,0.00196832,0.00196832
10,32.4966,3.45252,2.90608,2.06945,0.0831,0.15929,0.03325,0.00634,3.46721,2.26029,2.07534,0.00196436,0.00196436,0.00196436
11,35.6257,284.293,2.60322,1.9326,0.09096,0.14159,0.05112,0.01077,3.29737,2.37393,1.86632,0.0019604,0.0019604,0.0019604
12,38.7999,3.37212,2.3487,2.01359,0.21651,0.21239,0.10312,0.02168,3.1981,2.05734,1.88152,0.00195644,0.00195644,0.00195644
13,41.9515,3.40801,2.39919,1.96153,0.2283,0.14159,0.10013,0.02454,3.30328,2.39934,1.97415,0.00195248,0.00195248,0.00195248
14,45.0585,3.20884,2.25263,1.8833,0.20841,0.21239,0.10062,0.02388,3.14931,1.8966,1.79265,0.00194852,0.00194852,0.00194852
15,47.7168,3.26565,2.11638,1.94543,0.22311,0.29204,0.16327,0.0373,3.03379,1.79939,1.84021,0.00194456,0.00194456,0.00194456
16,50.8881,3.14375,2.0232,1.83472,0.21915,0.26549,0.11323,0.02716,3.20429,2.12988,1.7676,0.0019406,0.0019406,0.0019406
17,53.5559,241.379,2.0351,1.82077,0.23451,0.23894,0.12951,0.03225,3.11919,1.82862,1.7877,0.00193664,0.00193664,0.00193664
18,56.2229,202.169,1.9777,1.82139,0.06042,0.25664,0.06775,0.01893,3.12267,2.41806,2.13301,0.00193268,0.00193268,0.00193268
