epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09618,6.15454,101.913,2.87081,0,0,0,0,16.8369,90.6121,2.02797,0.0004,0.0004,0.0004
2,8.60414,5.42582,88.0868,3.54231,0,0,0,0,17.115,90.7643,1.99044,0.000816753,0.000816753,0.000816753
3,12.0204,4.41922,31.7168,3.43841,0,0,0,0,17.7818,91.0785,1.81531,0.00123018,0.00123018,0.00123018
4,15.3669,5.95347,12.919,2.79003,0,0,0,0,3.46315,3.78987,10.563,0.00164028,0.00164028,0.00164028
5,18.7128,3.87087,8.21802,2.64024,0,0,0,0,3.42551,4.13176,18.2126,0.00196832,0.00196832,0.00196832
6,22.0508,3.70537,5.62586,2.48806,0,0,0,0,2.49373,1.96312,16.5879,0.0019604,0.0019604,0.0019604
7,25.4587,5.02922,4.27182,2.14344,0.00093,0.13274,0.00287,0.00057,3.96858,3.36367,2.48448,0.00195248,0.00195248,0.00195248
8,28.8353,3.41859,3.90559,2.10326,0.11837,0.10619,0.04174,0.01069,3.06358,2.14916,2.0256,0.00194456,0.00194456,0.00194456
9,32.188,3.4555,3.22701,2.00123,0.15349,0.12389,0.04119,0.00848,3.3464,2.19497,2.00679,0.00193664,0.00193664,0.00193664
10,35.0375,3.3415,2.99439,2.00332,0.08408,0.18584,0.04697,0.00922,3.39372,2.20626,1.89653,0.00192872,0.00192872,0.00192872
11,37.9075,4.31835,2.78598,1.87566,0.17333,0.22124,0.08187,0.01907,3.09421,2.27459,1.85129,0.0019208,0.0019208,0.0019208
12,41.2693,3.15471,2.49865,1.92607,0.22275,0.28319,0.13392,0.03116,3.14033,1.95398,1.83817,0.00191288,0.00191288,0.00191288
13,44.5899,3.26685,2.44935,1.91489,0.21953,0.18584,0.09479,0.02305,3.13201,2.02508,1.86281,0.00190496,0.00190496,0.00190496
14,47.4155,3.15093,2.3712,1.8389,0.29462,0.31858,0.18474,0.04221,3.06374,1.75079,1.7055,0.00189704,0.00189704,0.00189704
15,50.7768,3.11813,2.17004,1.88395,0.26283,0.32743,0.15005,0.04012,2.85551,1.72554,1.70666,0.00188912,0.00188912,0.00188912
16,53.6412,3.02885,2.11816,1.75501,0.27214,0.26549,0.1355,0.03933,3.02258,1.88667,1.71015,0.0018812,0.0018812,0.0018812
17,56.4748,3.78192,2.00328,1.7656,0.39504,0.24779,0.26269,0.07616,2.73122,1.67774,1.65772,0.00187328,0.00187328,0.00187328
18,59.7826,3.70182,1.87137,1.72882,0.3654,0.37168,0.28117,0.062,2.89759,1.6637,1.67712,0.00186536,0.00186536,0.00186536
19,62.5945,3.5221,1.89687,1.68265,0.26537,0.23894,0.13439,0.03003,3.10369,2.07235,1.65911,0.00185744,0.00185744,0.00185744
20,65.481,2.81427,1.95107,1.61837,0.2332,0.25664,0.14315,0.03481,2.91672,1.86631,1.79762,0.00184952,0.00184952,0.00184952
