epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.76078,46.5847,101.87,2.88905,0,0,0,0,383.821,90.612,2.02823,0.0004,0.0004,0.0004
2,8.24845,5.11408,86.7937,3.37681,0,0,0,0,380.367,90.6801,2.02028,0.000816753,0.000816753,0.000816753
3,11.9082,4.4448,36.1827,3.38499,0,0,0,0,399.583,79.8367,1.80156,0.00123018,0.00123018,0.00123018
4,15.3791,44.7475,18.8236,2.94963,0,0,0,0,3.88541,3.09927,38.0297,0.00164028,0.00164028,0.00164028
5,18.8689,4.09441,9.60236,2.71526,0,0,0,0,2.83182,14292.8,206.556,0.00196832,0.00196832,0.00196832
6,22.3594,3.75551,5.63824,2.43388,0,0,0,0,145.079,3.66043,50.1931,0.0019604,0.0019604,0.0019604
7,25.8763,41.2895,4.1742,2.2052,0,0,0,0,156.785,3.91153,27.8459,0.00195248,0.00195248,0.00195248
8,29.5163,3.7427,3.77477,2.19361,0.04806,0.02371,0.00443,0.00087,4.22817,3.26525,7.45773,0.00194456,0.00194456,0.00194456
9,33.11,3.62223,3.14749,2.08378,0.13785,0.0885,0.02523,0.00502,3.71187,2.4121,2.08946,0.00193664,0.00193664,0.00193664
10,36.637,3.68319,2.93169,2.10078,0.08146,0.04425,0.02874,0.00637,3.50846,2.4066,2.14584,0.00192872,0.00192872,0.00192872
11,40.1484,35.5893,2.60075,1.979,0.13271,0.13274,0.03432,0.00694,3.58093,2.26334,2.23487,0.0019208,0.0019208,0.0019208
12,43.7795,3.38225,2.48461,2.01654,0.22343,0.25664,0.13286,0.02836,3.15945,1.9547,1.7847,0.00191288,0.00191288,0.00191288
13,47.3089,3.55058,2.50845,2.02723,0.19285,0.24779,0.10948,0.02265,3.31625,2.24534,1.78895,0.00190496,0.00190496,0.00190496
14,50.3568,3.42247,2.48855,1.90553,0.24936,0.22931,0.11545,0.02526,3.0955,2.01451,1.78446,0.00189704,0.00189704,0.00189704
15,53.4525,3.42406,2.1637,2.00714,0.20777,0.26549,0.12672,0.02939,3.05024,3.21571,1.77146,0.00188912,0.00188912,0.00188912
16,56.9441,3.18793,2.3271,1.87275,0.30057,0.23009,0.17874,0.04399,2.87674,1.85948,1.72953,0.0018812,0.0018812,0.0018812
17,60.5334,29.3962,2.11334,1.82656,0.18391,0.17699,0.09489,0.02897,2.92418,2.00714,1.79267,0.00187328,0.00187328,0.00187328
18,63.6074,26.2526,1.99288,1.73181,0.13832,0.10619,0.05458,0.0184,3.31904,2.4589,2.04159,0.00186536,0.00186536,0.00186536
19,66.7159,23.3396,1.93299,1.77716,0.21494,0.23894,0.12721,0.03486,3.00652,1.96419,1.7266,0.00185744,0.00185744,0.00185744
20,69.7147,3.10128,1.96343,1.79513,0.1238,0.23009,0.08515,0.02162,3.09574,2.07614,1.90797,0.00184952,0.00184952,0.00184952
21,72.6572,3.1433,1.90774,1.83723,0.33914,0.31858,0.21316,0.0447,2.89425,1.7472,1.78428,0.0018416,0.0018416,0.0018416
22,76.2093,2.89447,1.85374,1.74206,0.19202,0.22124,0.14146,0.04134,2.96307,1.89596,1.74061,0.00183368,0.00183368,0.00183368
23,79.3037,2.84077,1.76923,1.6761,0.21482,0.25664,0.16823,0.05531,2.75953,1.72037,1.6335,0.00182576,0.00182576,0.00182576
24,82.7948,2.84471,1.89442,1.76581,0.33895,0.27434,0.22091,0.05215,2.75391,1.80336,1.59548,0.00181784,0.00181784,0.00181784
25,86.3459,2.70896,1.70482,1.6436,0.43033,0.31858,0.27668,0.07472,2.68975,1.59501,1.59913,0.00180992,0.00180992,0.00180992
26,89.848,2.69889,1.60455,1.65591,0.37275,0.32743,0.27642,0.08089,2.78077,1.46153,1.58808,0.001802,0.001802,0.001802
27,93.317,2.71712,1.58353,1.60667,0.32174,0.23009,0.20586,0.04808,3.00467,1.95542,1.59822,0.00179408,0.00179408,0.00179408
28,96.2147,20.8369,1.56386,1.47908,0.34587,0.39823,0.29018,0.0831,2.57534,1.51902,1.49149,0.00178616,0.00178616,0.00178616
29,99.772,2.67095,1.55806,1.64265,0.42307,0.45133,0.32507,0.08546,2.59072,1.45612,1.52936,0.00177824,0.00177824,0.00177824
30,103.299,17.3194,1.5195,1.49445,0.39547,0.33578,0.31328,0.08307,2.73171,1.49459,1.57447,0.00177032,0.00177032,0.00177032
31,106.397,2.71495,1.54894,1.68329,0.38274,0.40708,0.31232,0.09113,2.55076,1.42973,1.52935,0.0017624,0.0017624,0.0017624
32,109.91,2.58415,1.50504,1.58384,0.3377,0.38938,0.31848,0.11516,2.42019,1.53671,1.50756,0.00175448,0.00175448,0.00175448
33,113.502,2.47235,1.41956,1.50584,0.45275,0.27434,0.29194,0.10053,2.51862,1.64828,1.50631,0.00174656,0.00174656,0.00174656
34,116.492,2.482,1.54206,1.56258,0.36747,0.30973,0.24909,0.08596,2.45416,1.65342,1.45342,0.00173864,0.00173864,0.00173864
35,119.501,2.39396,1.44367,1.46841,0.43923,0.30973,0.29812,0.10637,2.47453,1.4221,1.49773,0.00173072,0.00173072,0.00173072
36,122.495,2.41064,1.41994,1.48536,0.47378,0.36283,0.35293,0.12268,2.35273,1.43138,1.42283,0.0017228,0.0017228,0.0017228
37,125.88,2.28791,1.27443,1.40532,0.46031,0.45133,0.42616,0.13689,2.37568,1.42343,1.42571,0.00171488,0.00171488,0.00171488
38,129.069,2.39479,1.41755,1.42437,0.48186,0.40708,0.38879,0.12476,2.40318,1.22343,1.3787,0.00170696,0.00170696,0.00170696
39,131.591,2.43353,1.48335,1.4205,0.40803,0.49558,0.3243,0.09986,2.40988,1.40707,1.46853,0.00169904,0.00169904,0.00169904
40,134.076,14.7467,1.35641,1.33754,0.39863,0.48673,0.36101,0.12983,2.16298,1.28001,1.33846,0.00169112,0.00169112,0.00169112
41,136.573,13.9064,1.34417,1.34708,0.34855,0.44248,0.32276,0.11136,2.56573,1.36479,1.43193,0.0016832,0.0016832,0.0016832
42,139.096,2.26285,1.42388,1.38184,0.40812,0.46903,0.35866,0.13287,2.18929,1.33892,1.36292,0.00167528,0.00167528,0.00167528
43,141.589,2.2212,1.28299,1.42571,0.42167,0.42478,0.40311,0.14158,2.28977,1.26307,1.35523,0.00166736,0.00166736,0.00166736
44,144.678,2.2364,1.32367,1.35919,0.44192,0.53982,0.45539,0.15797,2.11646,1.30806,1.3503,0.00165944,0.00165944,0.00165944
45,147.739,2.17697,1.30175,1.39391,0.42678,0.45133,0.37288,0.14812,2.18271,1.30674,1.35045,0.00165152,0.00165152,0.00165152
46,150.285,2.12057,1.37186,1.39906,0.45677,0.47788,0.40429,0.14134,2.13751,1.33037,1.29494,0.0016436,0.0016436,0.0016436
47,152.835,12.6141,1.26576,1.27916,0.54246,0.49315,0.45876,0.16737,2.17545,1.21141,1.34104,0.00163568,0.00163568,0.00163568
48,155.927,2.26419,1.39507,1.49486,0.41846,0.53982,0.36861,0.14104,2.06895,1.3329,1.30309,0.00162776,0.00162776,0.00162776
49,158.454,2.20756,1.27887,1.39838,0.57341,0.54867,0.51634,0.19303,2.04481,1.1859,1.28308,0.00161984,0.00161984,0.00161984
50,161.545,2.23017,1.31809,1.3346,0.55813,0.43363,0.44587,0.16559,2.20735,1.26537,1.30641,0.00161192,0.00161192,0.00161192
51,164.123,2.14161,1.30326,1.32235,0.56339,0.50442,0.4913,0.18452,2.2278,1.33688,1.27404,0.001604,0.001604,0.001604
52,166.756,2.13489,1.16282,1.28503,0.543,0.48371,0.49431,0.18562,2.18362,1.20525,1.26639,0.00159608,0.00159608,0.00159608
53,169.349,2.14739,1.26631,1.29505,0.61343,0.46018,0.50511,0.20554,2.09288,1.23396,1.22569,0.00158816,0.00158816,0.00158816
54,172.394,2.09087,1.22105,1.2594,0.59543,0.40708,0.4526,0.17876,2.11049,1.25878,1.23986,0.00158024,0.00158024,0.00158024
55,174.984,2.07166,1.23496,1.29191,0.57464,0.43363,0.49421,0.20462,2.24006,1.28569,1.24147,0.00157232,0.00157232,0.00157232
56,177.639,2.11104,1.28244,1.34884,0.5245,0.55752,0.51532,0.20743,2.09485,1.20649,1.21429,0.0015644,0.0015644,0.0015644
57,180.702,2.08952,1.24535,1.32341,0.52779,0.51327,0.49621,0.19067,2.13601,1.20885,1.19842,0.00155648,0.00155648,0.00155648
58,183.194,2.16649,1.26634,1.23609,0.52172,0.48673,0.42177,0.16049,2.18872,1.23102,1.20757,0.00154856,0.00154856,0.00154856
59,185.745,2.04793,1.23792,1.25983,0.54017,0.50442,0.47441,0.18156,2.27253,1.21947,1.2304,0.00154064,0.00154064,0.00154064
60,188.324,2.04429,1.23987,1.26104,0.61711,0.54202,0.59658,0.2514,2.08596,1.12677,1.19437,0.00153272,0.00153272,0.00153272
61,191.355,2.02336,1.21112,1.20057,0.49955,0.47788,0.49886,0.2073,2.19089,1.2099,1.21056,0.0015248,0.0015248,0.0015248
62,193.889,2.09571,1.16913,1.24986,0.50277,0.53982,0.53316,0.24634,2.06909,1.17819,1.19468,0.00151688,0.00151688,0.00151688
63,196.506,1.98951,1.16905,1.26369,0.50506,0.5599,0.54924,0.20673,2.16505,1.23853,1.19989,0.00150896,0.00150896,0.00150896
64,199.165,2.00395,1.16356,1.20108,0.5612,0.57724,0.55584,0.24283,2.02647,1.14985,1.17773,0.00150104,0.00150104,0.00150104
65,201.776,2.00795,1.15323,1.24122,0.559,0.57522,0.56308,0.22884,2.0119,1.12484,1.16168,0.00149312,0.00149312,0.00149312
66,204.361,2.01227,1.14829,1.18318,0.56568,0.64602,0.62996,0.25336,2.04977,1.09132,1.16587,0.0014852,0.0014852,0.0014852
67,207.48,2.11504,1.17327,1.16304,0.49533,0.64602,0.54635,0.23993,1.96922,1.11052,1.1719,0.00147728,0.00147728,0.00147728
68,210.171,1.92743,1.10227,1.20987,0.61678,0.56637,0.63229,0.2926,1.88748,1.03878,1.16999,0.00146936,0.00146936,0.00146936
69,213.329,1.90519,1.14919,1.21029,0.71328,0.51327,0.64572,0.29535,1.90615,1.04343,1.15619,0.00146144,0.00146144,0.00146144
70,216.431,1.86508,1.08758,1.15416,0.62877,0.54867,0.62356,0.28827,1.91721,1.07376,1.13858,0.00145352,0.00145352,0.00145352
71,218.986,1.82363,1.05668,1.10092,0.57481,0.56637,0.60532,0.29614,1.79925,1.08314,1.10239,0.0014456,0.0014456,0.0014456
72,221.56,1.90847,1.1821,1.14618,0.64148,0.61062,0.6249,0.28815,1.85863,1.10782,1.12919,0.00143768,0.00143768,0.00143768
73,224.134,1.80629,1.11656,1.1577,0.67979,0.68142,0.68695,0.31897,1.74118,1.03824,1.09629,0.00142976,0.00142976,0.00142976
74,227.155,1.87878,1.12951,1.14971,0.65605,0.57392,0.63482,0.26452,1.9839,1.05811,1.10928,0.00142184,0.00142184,0.00142184
75,229.73,1.96894,1.15574,1.19005,0.59535,0.62499,0.62704,0.26953,1.86739,1.15074,1.09673,0.00141392,0.00141392,0.00141392
76,232.266,1.85763,1.13686,1.16166,0.52353,0.6126,0.56978,0.24723,1.90969,1.09065,1.15119,0.001406,0.001406,0.001406
77,234.812,1.96085,1.12352,1.12373,0.63098,0.52961,0.52279,0.23363,1.96222,1.11317,1.13364,0.00139808,0.00139808,0.00139808
78,237.327,1.96366,1.17418,1.15622,0.60047,0.61062,0.59826,0.27448,1.98313,1.07301,1.10945,0.00139016,0.00139016,0.00139016
79,239.888,1.88396,1.07508,1.16398,0.61875,0.59292,0.60852,0.28299,1.81313,1.01372,1.10406,0.00138224,0.00138224,0.00138224
80,242.51,1.81515,1.0856,1.1204,0.59221,0.62832,0.6172,0.26902,1.92511,1.03666,1.11534,0.00137432,0.00137432,0.00137432
81,245.097,1.78187,1.1395,1.07283,0.63233,0.59292,0.576,0.28558,1.87844,1.04382,1.09013,0.0013664,0.0013664,0.0013664
82,247.649,1.82792,1.08614,1.12199,0.5032,0.66372,0.58397,0.25735,1.93286,1.08732,1.08133,0.00135848,0.00135848,0.00135848
83,250.21,1.79031,1.04146,1.09148,0.56475,0.62832,0.61629,0.30538,1.78528,1.07952,1.07099,0.00135056,0.00135056,0.00135056
84,252.757,1.6482,0.98131,1.07448,0.75809,0.61013,0.70748,0.32746,1.78451,1.02445,1.10042,0.00134264,0.00134264,0.00134264
85,255.816,1.72545,1.00332,1.13761,0.6604,0.69027,0.68357,0.32019,1.77075,0.97944,1.08199,0.00133472,0.00133472,0.00133472
86,258.35,1.7657,1.04302,1.05475,0.63092,0.57522,0.63599,0.29724,1.84002,1.01594,1.08739,0.0013268,0.0013268,0.0013268
87,260.843,17.2176,1.00948,1.05597,0.6691,0.57522,0.65487,0.31103,1.89573,1.00191,1.07806,0.00131888,0.00131888,0.00131888
88,263.39,1.75749,1.02465,1.10544,0.66854,0.60177,0.65339,0.33937,1.70997,1.05174,1.06755,0.00131096,0.00131096,0.00131096
89,266.398,1.80879,1.04419,1.12188,0.65766,0.61062,0.67676,0.3201,1.73347,0.99707,1.05644,0.00130304,0.00130304,0.00130304
90,268.968,1.7333,1.0362,1.11688,0.64049,0.62832,0.62924,0.3022,1.80283,1.0186,1.11162,0.00129512,0.00129512,0.00129512
91,271.499,1.76056,1.03385,1.10751,0.71871,0.61062,0.63433,0.3061,1.73832,1.01491,1.08906,0.0012872,0.0012872,0.0012872
92,274.12,1.6394,0.99114,1.05675,0.65137,0.66372,0.66062,0.33896,1.65712,0.97621,1.05587,0.00127928,0.00127928,0.00127928
93,277.24,1.75428,1.08879,1.08943,0.68851,0.61947,0.69579,0.31871,1.75646,1.03284,1.05207,0.00127136,0.00127136,0.00127136
94,279.755,1.69895,1.00384,1.05828,0.66697,0.58489,0.61595,0.29026,1.73959,1.09122,1.04738,0.00126344,0.00126344,0.00126344
95,282.316,1.73114,1.05244,1.06665,0.58624,0.60177,0.62179,0.27264,1.7938,1.06942,1.07484,0.00125552,0.00125552,0.00125552
96,284.884,1.70598,1.04826,1.06944,0.62805,0.64254,0.68407,0.3406,1.72923,0.96958,1.06288,0.0012476,0.0012476,0.0012476
97,287.931,13.0341,1.00805,1.02536,0.69056,0.59292,0.68322,0.33678,1.69742,1.00549,1.06179,0.00123968,0.00123968,0.00123968
98,290.517,1.66194,0.94989,1.03176,0.63158,0.62201,0.63082,0.32404,1.67784,0.99234,1.03927,0.00123176,0.00123176,0.00123176
99,293.056,1.74847,1.02521,1.09702,0.64772,0.69912,0.67426,0.31301,1.80175,1.00605,1.06146,0.00122384,0.00122384,0.00122384
100,295.618,1.65841,1.02016,1.00756,0.6601,0.70466,0.67774,0.33826,1.70738,0.96834,1.03662,0.00121592,0.00121592,0.00121592
101,298.208,1.77804,0.99619,1.10172,0.67846,0.65357,0.67398,0.31128,1.7454,0.97883,1.03845,0.001208,0.001208,0.001208
102,300.782,1.66576,0.9659,1.04097,0.64856,0.69912,0.69871,0.35665,1.55024,0.92758,1.0105,0.00120008,0.00120008,0.00120008
103,303.901,1.7055,1.00432,1.0498,0.69672,0.63023,0.69007,0.34157,1.66116,0.91867,1.02681,0.00119216,0.00119216,0.00119216
104,306.515,1.67097,1.00143,1.05035,0.76234,0.61947,0.70202,0.32674,1.75774,0.93163,1.04952,0.00118424,0.00118424,0.00118424
105,309.064,1.6919,0.96492,1.03153,0.649,0.69912,0.65867,0.31484,1.62795,0.95279,1.02958,0.00117632,0.00117632,0.00117632
106,311.631,1.60086,0.99805,1.0463,0.73851,0.65487,0.72372,0.36476,1.55896,0.90292,1.02481,0.0011684,0.0011684,0.0011684
107,314.746,1.65996,0.97406,1.03196,0.71897,0.67921,0.7386,0.3828,1.66706,0.96093,1.0414,0.00116048,0.00116048,0.00116048
108,317.867,1.68936,0.97976,1.04603,0.59646,0.61479,0.66923,0.36248,1.62146,1.01928,1.02948,0.00115256,0.00115256,0.00115256
109,320.468,1.67925,1.02773,0.99541,0.63211,0.64602,0.66878,0.33417,1.70077,0.97191,1.03503,0.00114464,0.00114464,0.00114464
110,323.02,1.57434,0.94985,1.02819,0.65833,0.67257,0.66831,0.28737,1.82269,1.11866,1.02305,0.00113672,0.00113672,0.00113672
111,325.589,1.67941,0.99306,1.0362,0.66013,0.68142,0.68729,0.33288,1.66624,1.04515,1.01961,0.0011288,0.0011288,0.0011288
112,328.172,1.67463,0.95343,1.00785,0.67245,0.67257,0.72184,0.3611,1.66603,0.97581,1.02133,0.00112088,0.00112088,0.00112088
113,330.741,1.63331,0.96372,1.07071,0.73294,0.59292,0.69267,0.3356,1.65684,0.91226,1.00184,0.00111296,0.00111296,0.00111296
114,333.328,1.69098,0.93404,1.01797,0.60695,0.65596,0.65733,0.31623,1.66268,0.9372,1.01405,0.00110504,0.00110504,0.00110504
115,335.901,1.72771,1.02862,1.08426,0.72001,0.61062,0.68692,0.3419,1.62443,0.94161,0.99994,0.00109712,0.00109712,0.00109712
116,338.482,1.74904,0.94658,1.08188,0.82623,0.59292,0.74943,0.35938,1.71925,0.9192,1.01109,0.0010892,0.0010892,0.0010892
117,341.049,1.74448,0.98338,1.08184,0.76028,0.62832,0.73612,0.36578,1.60424,0.92276,1.01851,0.00108128,0.00108128,0.00108128
118,343.683,1.57028,0.95015,1.04874,0.71856,0.67786,0.75031,0.38788,1.59239,0.91059,1.03019,0.00107336,0.00107336,0.00107336
119,346.745,1.69667,0.97282,1.07832,0.68495,0.69027,0.72812,0.368,1.70419,0.87672,1.04615,0.00106544,0.00106544,0.00106544
120,349.331,1.68835,0.99339,1.0781,0.70729,0.63717,0.70806,0.36869,1.58824,0.94278,1.01982,0.00105752,0.00105752,0.00105752
