epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.11647,24.6142,102.021,2.88302,0,0,0,0,142.413,90.6121,2.02797,0.0004,0.0004,0.0004
2,8.54882,5.13418,88.9981,3.46369,0,0,0,0,144.544,90.7173,2.00249,0.000816753,0.000816753,0.000816753
3,11.9436,4.3789,35.4573,3.45268,0,0,0,0,2.69807,77.6616,1.93718,0.00123018,0.00123018,0.00123018
4,15.3557,23.0409,14.8585,2.88518,0,0,0,0,3.7523,2.53151,4.48835,0.00164028,0.00164028,0.00164028
5,18.6541,3.93904,8.65345,2.6088,0,0,0,0,4.7561,7.26456,14.3041,0.00196832,0.00196832,0.00196832
6,21.9379,4.03633,5.61088,2.61635,0,0,0,0,3.35942,3.87183,15.9508,0.0019604,0.0019604,0.0019604
7,25.2582,18.8999,4.17971,2.23109,0.00074,0.0354,0.00136,0.00037,4.64285,4.6797,12.7953,0.00195248,0.00195248,0.00195248
8,28.7135,3.55246,3.64687,2.20779,0.00416,0.0177,0.00243,0.00133,4.14344,3.30954,8.4113,0.00194456,0.00194456,0.00194456
9,31.9944,3.54814,3.11095,2.10618,0.04291,0.0177,0.0075,0.00184,4.27354,2.80097,2.93379,0.00193664,0.00193664,0.00193664
10,35.3241,3.56604,2.94229,2.0947,0.10492,0.15929,0.03952,0.00789,3.47781,2.22375,1.95795,0.00192872,0.00192872,0.00192872
11,38.7522,13.5759,2.58459,1.99798,0.15368,0.11504,0.05567,0.01316,3.42316,2.02858,2.11736,0.0019208,0.0019208,0.0019208
12,42.0511,3.20694,2.36945,1.98019,0.26875,0.24779,0.14277,0.02756,3.30774,1.89209,1.82378,0.00191288,0.00191288,0.00191288
13,45.3825,3.26898,2.30267,1.93658,0.03343,0.09735,0.02979,0.00672,3.9268,3.0966,2.15202,0.00190496,0.00190496,0.00190496
14,48.2469,3.26909,2.23907,1.8818,0.0431,0.17699,0.04461,0.01497,3.23693,2.45594,2.04752,0.00189704,0.00189704,0.00189704
15,51.1044,3.23482,2.1065,1.91839,0.18033,0.19469,0.0866,0.01821,3.15603,1.85846,1.82568,0.00188912,0.00188912,0.00188912
16,53.9749,3.16379,2.01618,1.83873,0.14369,0.16814,0.08305,0.02257,3.35472,2.68739,1.90669,0.0018812,0.0018812,0.0018812
17,56.8801,10.0967,2.00937,1.84627,0.20718,0.17699,0.12781,0.02814,3.07768,2.00215,1.73929,0.00187328,0.00187328,0.00187328
18,59.6895,8.42718,1.88278,1.75368,0.00111,0.00885,0.00139,0.00014,5.19098,3.43829,4.19109,0.00186536,0.00186536,0.00186536
19,62.5352,7.5493,1.85823,1.76583,0.22517,0.24779,0.11264,0.03115,2.99208,1.92591,1.70918,0.00185744,0.00185744,0.00185744
20,65.9246,2.90539,1.83858,1.67136,0.22533,0.24779,0.15462,0.03979,2.97279,1.7563,1.73133,0.00184952,0.00184952,0.00184952
21,69.2618,2.9769,1.78528,1.69761,0.19176,0.27434,0.16119,0.04573,2.91899,1.56716,1.63083,0.0018416,0.0018416,0.0018416
22,72.6391,2.86545,1.73225,1.64342,0.43558,0.27434,0.26881,0.06806,2.77311,1.94755,1.60727,0.00183368,0.00183368,0.00183368
23,75.9692,2.74327,1.76029,1.58527,0.35664,0.25664,0.20207,0.06141,2.76591,1.8547,1.61456,0.00182576,0.00182576,0.00182576
24,78.8321,2.71616,1.76476,1.70117,0.38854,0.34513,0.28165,0.07879,2.74777,1.74273,1.57984,0.00181784,0.00181784,0.00181784
