epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.62471,1.26667,0.77218,0.91944,0.63946,0.50442,0.60098,0.26004,1.69161,1.00808,0.98276,0.0004,0.0004,0.0004
2,9.10358,1.40438,0.8335,0.96649,0.81646,0.5118,0.62968,0.30248,1.60006,1.02054,1.00414,0.000816753,0.000816753,0.000816753
3,12.5515,1.42772,0.85382,1.00412,0.71925,0.61062,0.67159,0.3195,1.47909,0.85128,0.97058,0.00123018,0.00123018,0.00123018
4,15.9832,1.51812,0.90375,0.98023,0.53295,0.54533,0.53903,0.241,1.68879,1.12934,1.02485,0.00164028,0.00164028,0.00164028
5,18.8445,1.5349,0.96747,1.05331,0.40871,0.30973,0.26572,0.09307,2.34536,1.52506,1.29552,0.00196832,0.00196832,0.00196832
6,21.7079,1.63296,0.96459,1.08026,0.5341,0.19469,0.23093,0.0848,2.46219,1.61427,1.38512,0.0019604,0.0019604,0.0019604
7,24.5881,1.51351,1.0021,0.97608,0.55713,0.40708,0.45201,0.17017,1.9782,1.23924,1.12805,0.00195248,0.00195248,0.00195248
8,27.4689,1.61961,1.00339,1.07485,0.50498,0.54867,0.42988,0.19711,1.60917,1.12668,1.04043,0.00194456,0.00194456,0.00194456
9,30.3029,1.54807,0.95982,1.01145,0.47978,0.51327,0.49234,0.21698,1.8108,1.15316,1.04913,0.00193664,0.00193664,0.00193664
10,33.1524,1.57803,0.98531,1.02762,0.72236,0.39144,0.50355,0.24455,1.75748,1.24308,1.03528,0.00192872,0.00192872,0.00192872
11,36.0356,1.46245,0.93647,1.01366,0.60561,0.49558,0.57499,0.29,1.48498,1.12101,1.0091,0.0019208,0.0019208,0.0019208
12,38.9792,1.62613,1.02464,1.03612,0.16102,0.04425,0.02906,0.0095,3.43714,3.7059,4.73006,0.00191288,0.00191288,0.00191288
13,41.8392,1.61872,0.93825,1.05071,0.58481,0.29204,0.37872,0.1684,2.0022,1.63088,1.34269,0.00190496,0.00190496,0.00190496
14,44.6904,1.51373,0.90066,1.00077,0.57701,0.50442,0.54659,0.25969,1.66765,1.05315,1.09058,0.00189704,0.00189704,0.00189704
15,47.5874,1.53779,0.96719,1.04143,0.58669,0.59292,0.58637,0.29708,1.52371,1.01688,0.99866,0.00188912,0.00188912,0.00188912
16,50.4336,1.52537,0.91263,1.00703,0.77396,0.47788,0.61127,0.3013,1.65617,1.0445,1.02787,0.0018812,0.0018812,0.0018812
17,53.2388,1.54996,0.97688,1.01374,0.69809,0.50442,0.58429,0.26885,1.7078,1.16573,1.07374,0.00187328,0.00187328,0.00187328
18,56.1045,1.44925,0.94028,0.98591,0.56786,0.59306,0.56336,0.26656,1.4895,1.01726,1.02751,0.00186536,0.00186536,0.00186536
19,58.9748,1.40116,0.889,0.99316,0.76586,0.49558,0.64155,0.32474,1.47654,0.9148,0.99058,0.00185744,0.00185744,0.00185744
20,62.3554,1.43594,0.88844,0.98178,0.65509,0.5715,0.60126,0.31033,1.4224,0.9176,1.01002,0.00184952,0.00184952,0.00184952
21,65.2089,1.47609,0.85917,0.99372,0.70154,0.62405,0.67433,0.337,1.53061,0.88194,1.00023,0.0018416,0.0018416,0.0018416
22,68.5482,1.47374,0.87202,0.98047,0.58011,0.57465,0.59254,0.31733,1.48359,0.95008,1.01065,0.00183368,0.00183368,0.00183368
23,71.4084,1.45295,0.86608,0.98796,0.69584,0.53982,0.56999,0.28812,1.60554,0.95394,1.02889,0.00182576,0.00182576,0.00182576
24,74.2363,1.50499,0.94184,1.05188,0.65945,0.54867,0.63092,0.30296,1.59738,0.9253,1.03543,0.00181784,0.00181784,0.00181784
25,77.1371,1.5238,0.86917,1.01792,0.63288,0.51327,0.55427,0.25201,1.75065,1.0941,1.07284,0.00180992,0.00180992,0.00180992
26,79.9938,1.46459,0.87725,1.00126,0.73056,0.53982,0.61899,0.32566,1.44804,0.93441,1.01817,0.001802,0.001802,0.001802
27,82.8567,1.5218,0.87595,0.98706,0.71015,0.54867,0.63122,0.29927,1.65759,0.94182,1.02875,0.00179408,0.00179408,0.00179408
28,85.6996,1.42032,0.97414,0.94646,0.62871,0.62832,0.62933,0.30679,1.48168,0.93888,1.00804,0.00178616,0.00178616,0.00178616
29,88.5212,1.53654,0.89767,1.03802,0.67676,0.51881,0.59566,0.29534,1.55354,0.86888,1.03008,0.00177824,0.00177824,0.00177824
30,91.3611,1.39087,0.85184,0.96442,0.59991,0.54406,0.56928,0.28574,1.49375,0.94558,1.03859,0.00177032,0.00177032,0.00177032
31,94.238,1.45809,0.87456,1.05422,0.58995,0.45133,0.4943,0.2647,1.50917,1.07698,1.03046,0.0017624,0.0017624,0.0017624
32,97.13,1.49508,0.91707,1.04563,0.73059,0.58407,0.65896,0.33023,1.51363,0.92379,0.9965,0.00175448,0.00175448,0.00175448
33,99.9915,1.48616,0.8832,0.99259,0.57313,0.43965,0.52477,0.26229,1.58122,1.17077,1.03871,0.00174656,0.00174656,0.00174656
34,102.847,1.48998,0.90923,1.03092,0.73594,0.43363,0.50415,0.26124,1.40631,1.04166,0.99383,0.00173864,0.00173864,0.00173864
35,105.699,1.5018,0.9414,1.01294,0.54736,0.66372,0.60047,0.29046,1.48459,1.08242,1.01573,0.00173072,0.00173072,0.00173072
36,108.584,1.4689,0.91387,1.00298,0.68824,0.53097,0.5849,0.27882,1.58619,0.97418,0.98678,0.0017228,0.0017228,0.0017228
37,111.376,1.4701,0.83042,0.96865,0.68536,0.50121,0.56413,0.27307,1.6437,1.04413,1.03357,0.00171488,0.00171488,0.00171488
38,114.188,1.40225,0.8394,0.95435,0.80331,0.51327,0.6353,0.32141,1.41564,0.99984,0.98256,0.00170696,0.00170696,0.00170696
39,117.025,1.42388,0.86061,0.96724,0.66994,0.61062,0.66955,0.34057,1.40578,0.92454,0.97335,0.00169904,0.00169904,0.00169904
40,120.407,1.3184,0.79588,0.91892,0.75241,0.56476,0.67671,0.35501,1.47474,0.88994,0.96991,0.00169112,0.00169112,0.00169112
41,123.782,1.37799,0.91015,0.95482,0.69287,0.54867,0.6638,0.36276,1.30372,0.88032,0.97686,0.0016832,0.0016832,0.0016832
42,127.112,1.39191,0.89515,0.97687,0.73892,0.50094,0.63639,0.35846,1.32402,0.90466,0.96912,0.00167528,0.00167528,0.00167528
43,129.923,1.40406,0.83688,0.9985,0.70193,0.53982,0.61339,0.32483,1.44112,0.88907,0.98024,0.00166736,0.00166736,0.00166736
44,132.78,1.40841,0.87022,0.95547,0.63138,0.50442,0.60194,0.30405,1.6133,1.03986,1.0096,0.00165944,0.00165944,0.00165944
45,135.662,1.47223,0.84281,0.98764,0.79445,0.54727,0.66822,0.34402,1.42567,0.86948,0.98431,0.00165152,0.00165152,0.00165152
46,138.464,1.33372,0.83475,0.98698,0.64755,0.56637,0.64113,0.33848,1.45371,0.88485,0.98583,0.0016436,0.0016436,0.0016436
47,141.363,1.30336,0.80629,0.91728,0.74447,0.55752,0.66761,0.34259,1.45167,0.89768,0.97512,0.00163568,0.00163568,0.00163568
48,144.217,1.53095,0.88154,1.10481,0.74738,0.63717,0.72103,0.36653,1.47523,0.85636,1.00588,0.00162776,0.00162776,0.00162776
49,147.593,1.44509,0.86442,1.01695,0.66612,0.65328,0.64923,0.3383,1.42256,0.86077,0.98323,0.00161984,0.00161984,0.00161984
50,150.447,1.4638,0.90231,0.95863,0.60237,0.5899,0.6054,0.30666,1.5512,0.90583,0.97319,0.00161192,0.00161192,0.00161192
51,153.313,1.34264,0.85358,0.95249,0.72405,0.54867,0.65053,0.35095,1.43381,0.9076,0.99571,0.001604,0.001604,0.001604
52,156.157,1.36234,0.77741,0.95871,0.64153,0.55752,0.62058,0.34958,1.4125,0.85319,0.9741,0.00159608,0.00159608,0.00159608
53,159.009,1.41901,0.8594,0.96552,0.66915,0.55488,0.65463,0.35127,1.40809,0.84583,0.96355,0.00158816,0.00158816,0.00158816
54,161.926,1.40386,0.84206,0.9644,0.71557,0.54867,0.68086,0.35817,1.50479,0.90035,0.96782,0.00158024,0.00158024,0.00158024
55,164.782,1.3334,0.79397,0.9814,0.70048,0.56637,0.66116,0.3544,1.43483,0.88189,0.96337,0.00157232,0.00157232,0.00157232
