epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.31521,4.1069,101.752,2.91521,0,0,0,0,2.88181,90.6121,2.02815,0.0004,0.0004,0.0004
2,7.7726,5.10235,89.0158,3.26947,0,0,0,0,2.85086,90.7321,2.0127,0.000816753,0.000816753,0.000816753
3,10.9923,4.39639,37.9947,3.2693,0,0,0,0,2.67605,78.3867,1.91707,0.00123018,0.00123018,0.00123018
4,14.1057,4.22262,18.5521,2.99667,0,0,0,0,1.75474,2.20265,15.9805,0.00164028,0.00164028,0.00164028
5,17.2366,4.26452,14.8341,2.86657,0,0,0,0,1.83757,1.51985,21.3243,0.00196832,0.00196832,0.00196832
6,20.3793,3.90388,7.19539,2.63029,0,0,0,0,0,0,0,0.0019604,0.0019604,0.0019604
7,23.6587,3.67469,4.63841,2.36148,0.00144,0.00885,0.00239,0.00048,3.4851,3.46013,10.4082,0.00195248,0.00195248,0.00195248
8,26.8275,3.75589,3.8973,2.3458,0.00043,0.0177,0.00039,0.00015,4.47983,4.44566,3.91649,0.00194456,0.00194456,0.00194456
9,29.4797,3.70057,3.72094,2.26665,0.04825,0.0354,0.01097,0.0022,4.00077,2.39482,2.5335,0.00193664,0.00193664,0.00193664
10,32.5544,3.65537,2.97175,2.23345,0.01508,0.15929,0.01387,0.00283,3.74518,2.68876,2.29593,0.00192872,0.00192872,0.00192872
11,35.7201,3.4545,2.92172,2.13764,0.03871,0.02655,0.01592,0.0054,4.08814,3.33441,2.21542,0.0019208,0.0019208,0.0019208
12,38.8748,3.48111,2.53292,2.06651,0.05106,0.10619,0.02956,0.00737,3.80625,3.48297,2.27125,0.00191288,0.00191288,0.00191288
13,41.9971,3.45968,2.40938,2.03591,0.16156,0.15044,0.06515,0.01568,3.64413,2.72519,3.60651,0.00190496,0.00190496,0.00190496
14,45.1184,3.39616,2.60575,2.05292,0.25237,0.17626,0.09581,0.02158,3.28962,2.81301,2.56035,0.00189704,0.00189704,0.00189704
15,48.2405,3.4596,2.29074,2.08131,0.18403,0.21239,0.09356,0.01967,3.21399,2.02782,2.41378,0.00188912,0.00188912,0.00188912
16,50.8857,3.24071,2.32724,1.90437,0.18385,0.21239,0.08368,0.02238,3.24244,2.08245,2.09087,0.0018812,0.0018812,0.0018812
17,53.4862,2.98071,2.10252,1.88903,0.19722,0.29204,0.10491,0.0243,3.10093,2.17413,1.80174,0.00187328,0.00187328,0.00187328
