epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.61325,4.10435,101.734,2.90553,0,0,0,0,2.88181,90.6121,2.02813,0.0004,0.0004,0.0004
2,7.80349,5.29153,86.6516,3.46792,0,0,0,0,2.85703,90.7212,2.01532,0.000816753,0.000816753,0.000816753
3,10.9674,4.55502,37.9482,3.63982,0,0,0,0,2.97314,79.5829,2.08106,0.00123018,0.00123018,0.00123018
4,14.0045,4.19717,17.9165,3.11537,0,0,0,0,5.46989,4.70687,5.78756,0.00164028,0.00164028,0.00164028
5,17.0483,3.90659,8.66838,2.61927,0,0,0,0,0,0,0,0.00196832,0.00196832,0.00196832
6,20.111,3.75325,5.32938,2.48312,0,0,0,0,1.978,2.91963,3.60941,0.0019604,0.0019604,0.0019604
7,23.1897,3.55308,3.91913,2.18549,0.00044,0.00885,0.00022,2e-05,5.28251,9.00026,9.55601,0.00195248,0.00195248,0.00195248
8,26.29,3.55651,3.6561,2.16903,0.0011,0.0177,0.00081,0.00028,5.18575,5.58321,6.67149,0.00194456,0.00194456,0.00194456
9,29.3139,3.4134,3.04292,2.02205,0.03492,0.0354,0.0044,0.00096,5.10173,3.55915,4.50603,0.00193664,0.00193664,0.00193664
10,32.3058,3.39562,2.83759,1.9976,0.12148,0.04425,0.02057,0.00409,4.30785,3.46079,2.87625,0.00192872,0.00192872,0.00192872
11,35.3499,3.0411,2.49184,1.89355,0.18177,0.16814,0.0783,0.01912,3.17253,2.22179,1.83506,0.0019208,0.0019208,0.0019208
12,38.4518,3.13914,2.33196,1.91596,0.20868,0.19469,0.09775,0.02287,3.15197,2.14571,1.79961,0.00191288,0.00191288,0.00191288
13,41.4691,3.25191,2.39955,1.89745,0.22141,0.19469,0.11233,0.03606,3.03347,2.12368,1.82584,0.00190496,0.00190496,0.00190496
14,44.4723,3.10687,2.25659,1.85585,0.19743,0.16814,0.07861,0.01674,3.79525,2.12278,2.12114,0.00189704,0.00189704,0.00189704
15,47.042,3.10159,2.10774,1.87169,0.20329,0.31858,0.13425,0.02812,3.03737,1.85068,1.69126,0.00188912,0.00188912,0.00188912
16,49.6112,3.11917,2.0026,1.79344,0.20357,0.30088,0.16475,0.03836,2.90904,1.6641,1.67723,0.0018812,0.0018812,0.0018812
17,52.6044,2.79596,1.99545,1.73587,0.2208,0.31858,0.17377,0.04462,2.7969,1.99066,1.62976,0.00187328,0.00187328,0.00187328
18,55.6036,2.78031,1.87228,1.68782,0.34266,0.32743,0.25116,0.07485,2.59458,1.66306,1.55176,0.00186536,0.00186536,0.00186536
19,58.6074,2.57984,1.85673,1.62928,0.24034,0.23894,0.14357,0.04422,2.7875,1.9981,1.60919,0.00185744,0.00185744,0.00185744
20,61.1192,2.77245,1.85767,1.58941,0.36266,0.33628,0.27517,0.06786,2.73784,1.50487,1.60241,0.00184952,0.00184952,0.00184952
21,63.6256,2.73411,1.69195,1.60952,0.2836,0.39589,0.25424,0.07236,2.65741,1.5738,1.63282,0.0018416,0.0018416,0.0018416
22,66.195,2.61585,1.72497,1.5842,0.35532,0.42478,0.30594,0.09459,2.68344,1.4668,1.60268,0.00183368,0.00183368,0.00183368
23,69.2619,2.57752,1.67386,1.53961,0.32387,0.30973,0.20319,0.05429,2.78911,1.66083,1.65135,0.00182576,0.00182576,0.00182576
24,71.8312,2.61911,1.79086,1.64033,0.23097,0.27434,0.19062,0.07029,2.54998,1.65619,1.5163,0.00181784,0.00181784,0.00181784
25,74.4072,2.49166,1.61276,1.51076,0.31626,0.41343,0.2666,0.09635,2.42483,1.38655,1.49335,0.00180992,0.00180992,0.00180992
26,76.9673,2.37019,1.54417,1.51404,0.48762,0.46903,0.36209,0.11481,2.42671,1.3306,1.50106,0.001802,0.001802,0.001802
27,80.0323,2.53052,1.52234,1.52074,0.40744,0.46903,0.40916,0.14599,2.35798,1.3563,1.46725,0.00179408,0.00179408,0.00179408
28,83.0859,2.49245,1.59699,1.45111,0.28686,0.47788,0.28243,0.08335,2.44533,1.43352,1.55849,0.00178616,0.00178616,0.00178616
29,85.6235,2.65113,1.64444,1.62467,0.33309,0.47294,0.29648,0.08954,2.41719,1.52086,1.46494,0.00177824,0.00177824,0.00177824
30,88.1625,2.29049,1.47155,1.44868,0.37535,0.33628,0.30734,0.09989,2.51073,1.37373,1.49216,0.00177032,0.00177032,0.00177032
31,90.7157,2.41539,1.45781,1.56857,0.51754,0.37973,0.37693,0.11821,2.35415,1.26357,1.41554,0.0017624,0.0017624,0.0017624
32,93.3155,2.36957,1.42492,1.49988,0.46415,0.24779,0.25712,0.09743,2.5313,1.43294,1.42976,0.00175448,0.00175448,0.00175448
33,95.9226,2.38545,1.41332,1.41607,0.42007,0.38463,0.36697,0.13277,2.40998,1.34702,1.36461,0.00174656,0.00174656,0.00174656
34,98.4685,2.44343,1.52096,1.45284,0.50162,0.3563,0.33466,0.11859,2.25848,1.36295,1.34473,0.00173864,0.00173864,0.00173864
35,101.037,2.28808,1.47218,1.39422,0.38198,0.40708,0.29125,0.08634,2.37258,1.56659,1.42934,0.00173072,0.00173072,0.00173072
