               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12323,            0.014223,                   0,            0.001387,            0.035398,          0.00084037,          0.00020944,                 nan,                 nan,                   0,            0.070732,            0.003252,            0.003252
                   1,             0.11732,            0.011404,                   0,          3.6232e-05,           0.0088496,          1.8288e-05,          3.6575e-06,                 nan,                 nan,                   0,            0.040706,           0.0065593,           0.0065593
                   2,             0.11754,            0.011671,                   0,                   0,                   0,                   0,                   0,             0.15968,              288.47,                   0,            0.010653,           0.0098401,           0.0098401
                   3,             0.11216,            0.012983,                   0,          7.2464e-05,            0.017699,          5.1573e-05,          1.5472e-05,                 nan,                 nan,                   0,           0.0098812,           0.0098812,           0.0098812
                   4,             0.10253,            0.015761,                   0,            0.040797,            0.035398,           0.0032583,          0.00087029,              0.1259,            0.029157,                   0,           0.0098812,           0.0098812,           0.0098812
                   5,             0.11452,            0.012051,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,             0.10508,            0.012544,                   0,            0.052599,            0.061947,           0.0092194,           0.0018081,                 nan,                 nan,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.099402,            0.013819,                   0,            0.061314,            0.088496,            0.023879,           0.0071439,                 nan,                 nan,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,            0.095841,            0.013565,                   0,             0.16246,             0.10619,            0.033734,           0.0079321,             0.12393,            0.018971,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.089712,            0.013012,                   0,             0.18961,             0.09732,             0.03028,           0.0063053,             0.12403,            0.020448,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.089019,            0.013483,                   0,             0.20701,             0.18584,            0.075591,            0.017327,             0.11222,            0.019334,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.092992,            0.012632,                   0,             0.35837,             0.43496,             0.27624,            0.070113,            0.092776,            0.020973,                   0,            0.009604,            0.009604,            0.009604
                  12,            0.088922,            0.014077,                   0,             0.25114,             0.28319,             0.16602,             0.03363,            0.092853,            0.018305,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,             0.08494,             0.01344,                   0,             0.40541,             0.36283,              0.2539,            0.069024,             0.08992,            0.022902,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.085509,            0.013311,                   0,             0.25249,             0.37168,             0.19611,             0.04954,            0.087767,             0.02213,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.081934,             0.01277,                   0,             0.11111,             0.10619,            0.042563,           0.0080974,             0.12002,             0.02077,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.079747,            0.012852,                   0,             0.21361,            0.044248,            0.027709,           0.0071589,             0.12281,            0.019885,                   0,            0.009406,            0.009406,            0.009406
                  17,             0.07858,            0.012913,                   0,              0.5305,             0.15929,             0.16937,            0.049062,             0.11323,            0.014948,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.077605,            0.012739,                   0,             0.20621,             0.10619,            0.084448,            0.018065,             0.12122,            0.013412,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.074299,             0.01305,                   0,             0.60168,             0.31858,             0.34167,            0.095958,            0.084282,            0.021455,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.082662,            0.013011,                   0,             0.57503,              0.4311,             0.45074,             0.13361,            0.077164,            0.023184,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.078184,            0.013028,                   0,             0.42813,             0.41593,              0.3627,             0.09243,            0.077402,            0.020063,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.075084,            0.012606,                   0,             0.43813,             0.35886,             0.30921,            0.099712,            0.075694,            0.020526,                   0,           0.0091684,           0.0091684,           0.0091684
