               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11572,            0.021003,                   0,           0.0097314,             0.14159,           0.0082445,           0.0014961,             0.12558,            0.042643,                   0,            0.070732,            0.003252,            0.003252
                   1,             0.10656,            0.017341,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.040706,           0.0065593,           0.0065593
                   2,             0.10836,            0.016701,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.010653,           0.0098401,           0.0098401
                   3,             0.10393,            0.016641,                   0,          0.00016663,           0.0088496,          3.5605e-05,          3.5605e-06,                 nan,                 nan,                   0,           0.0098812,           0.0098812,           0.0098812
                   4,            0.095934,            0.018536,                   0,                   0,                   0,                   0,                   0,             0.14535,            0.019227,                   0,           0.0098812,           0.0098812,           0.0098812
                   5,            0.090553,            0.016857,                   0,            0.069161,             0.21239,            0.026265,           0.0043325,             0.10966,            0.037944,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,            0.095561,            0.015251,                   0,                   0,                   0,                   0,                   0,             0.14552,             0.08102,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.087828,            0.016188,                   0,            0.053452,            0.017699,           0.0064391,           0.0011818,             0.12866,             0.04236,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,            0.083756,            0.015329,                   0,             0.13485,             0.55752,             0.11711,            0.031727,            0.090175,            0.036501,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.079791,             0.01566,                   0,             0.22979,             0.24555,             0.11585,            0.019646,            0.096503,            0.031549,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.080613,            0.015559,                   0,              0.1928,             0.22124,             0.12606,             0.02406,            0.099683,            0.033079,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.081076,            0.015453,                   0,             0.26329,             0.24779,            0.099901,            0.023843,            0.097463,            0.024569,                   0,            0.009604,            0.009604,            0.009604
                  12,            0.083439,            0.016781,                   0,             0.26444,            0.088496,            0.057965,            0.012941,             0.10731,            0.030924,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.077415,            0.015323,                   0,             0.24527,             0.12945,            0.098385,            0.019991,            0.099841,            0.034166,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.075532,              0.0145,                   0,             0.54239,             0.47203,             0.45041,             0.14769,            0.073785,            0.022593,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.071419,            0.014058,                   0,             0.42631,             0.47788,             0.36542,             0.10455,            0.078618,            0.021039,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.073875,            0.013941,                   0,             0.41465,             0.38242,             0.34178,            0.078221,            0.087079,            0.020755,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.075205,            0.014465,                   0,             0.55271,             0.34513,             0.38876,            0.092756,             0.07653,            0.024285,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.069761,            0.014024,                   0,             0.18464,             0.27434,             0.10011,            0.028652,            0.081426,             0.03042,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.069179,            0.013801,                   0,             0.27243,            0.088496,            0.051131,           0.0098007,             0.11057,             0.03029,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.068572,            0.014638,                   0,             0.27493,             0.18457,             0.12203,            0.038401,            0.099645,            0.029582,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.067945,            0.013858,                   0,             0.52821,             0.53097,             0.48799,             0.14579,            0.064115,            0.021543,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.063926,            0.013346,                   0,             0.66456,             0.66624,              0.6481,             0.23398,            0.056813,            0.026407,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.061812,            0.013523,                   0,             0.66516,             0.63289,             0.66736,             0.20303,            0.066241,             0.01815,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.062197,             0.01269,                   0,             0.81489,             0.58438,             0.65736,             0.22603,            0.067836,            0.019808,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.061664,            0.012255,                   0,             0.60019,             0.21239,             0.24691,            0.094268,             0.10957,            0.041569,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,            0.065422,            0.013554,                   0,             0.68434,             0.61062,             0.63061,             0.20645,            0.060246,            0.018181,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.060533,            0.012998,                   0,             0.72075,             0.79945,             0.72787,             0.27539,            0.055438,            0.016924,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.065994,            0.013201,                   0,             0.55602,             0.39823,             0.39703,             0.12107,            0.075904,            0.028039,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.062431,            0.012785,                   0,             0.56207,             0.38938,             0.41311,             0.12895,            0.070244,            0.024331,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.060797,            0.012178,                   0,              0.6725,             0.39981,             0.44985,             0.17353,            0.069614,             0.02467,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.059944,            0.012894,                   0,             0.64928,             0.48673,             0.54759,             0.18276,            0.062037,            0.020328,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.061514,            0.012795,                   0,             0.34183,             0.12389,            0.092681,            0.024809,             0.13349,                 nan,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.060048,            0.012483,                   0,             0.69301,             0.67923,             0.70502,             0.23676,            0.055345,            0.020213,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,            0.059741,            0.013141,                   0,             0.79512,             0.73451,             0.76406,             0.28093,             0.05216,            0.018803,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.059189,            0.012862,                   0,             0.63657,             0.43363,             0.46363,             0.14655,            0.059498,            0.024273,                   0,           0.0086536,           0.0086536,           0.0086536
