               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12895,            0.010694,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.070732,            0.003252,            0.003252
                   1,             0.12105,            0.010577,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.040706,           0.0065593,           0.0065593
                   2,             0.12858,           0.0091861,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.010653,           0.0098401,           0.0098401
                   3,             0.12638,           0.0098889,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0098812,           0.0098812,           0.0098812
                   4,              0.1192,            0.011931,                   0,            0.032473,             0.10619,           0.0080366,           0.0016486,             0.12269,            0.021736,                   0,           0.0098812,           0.0098812,           0.0098812
                   5,             0.11736,            0.010991,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,             0.11476,            0.010368,                   0,           0.0069087,            0.026549,           0.0016519,          0.00032332,             0.12282,                 nan,                   0,            0.009802,            0.009802,            0.009802
                   7,             0.10923,            0.011999,                   0,            0.050097,            0.035398,           0.0084664,            0.002135,             0.11801,            0.014367,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,             0.10597,            0.011798,                   0,            0.083301,             0.21239,            0.053374,            0.010236,              0.1162,            0.011439,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,             0.10373,            0.011005,                   0,             0.12188,             0.17699,            0.057219,            0.012502,             0.11146,            0.011852,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,             0.10316,            0.011461,                   0,             0.12781,             0.15044,            0.050398,            0.012068,             0.11317,            0.011645,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,             0.10489,            0.011528,                   0,            0.086662,            0.097345,            0.021531,           0.0052677,             0.12622,           0.0088339,                   0,            0.009604,            0.009604,            0.009604
                  12,             0.10241,            0.011486,                   0,             0.15249,            0.097345,            0.057564,            0.014225,             0.11802,            0.013991,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.098789,            0.011442,                   0,            0.083743,            0.061947,           0.0079973,           0.0015367,             0.14234,            0.012917,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.098312,            0.011948,                   0,             0.24895,             0.22124,             0.14849,            0.040366,             0.10319,            0.014003,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.097488,            0.010314,                   0,            0.094967,            0.097345,            0.032279,           0.0071437,             0.12771,            0.013012,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.094941,            0.010366,                   0,             0.23882,             0.30973,             0.15375,            0.040656,             0.10789,            0.011407,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.096729,            0.010481,                   0,             0.46529,             0.27434,             0.25073,            0.071167,             0.10189,            0.014237,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.098862,            0.010444,                   0,             0.26382,             0.19982,             0.12342,            0.023371,             0.12058,           0.0091066,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.091421,            0.010704,                   0,             0.28491,             0.21239,             0.13205,            0.038067,             0.10758,            0.015389,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.091109,            0.010957,                   0,              0.4918,             0.33628,             0.34248,            0.087777,            0.092893,            0.011612,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.086459,            0.011214,                   0,             0.54804,             0.38053,             0.32763,             0.10646,            0.091993,            0.013718,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.086812,            0.010696,                   0,              0.3731,             0.19469,             0.14459,            0.035163,             0.11579,            0.014267,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.086299,            0.010919,                   0,             0.60833,             0.34513,             0.38962,             0.12123,            0.090914,            0.010612,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.085381,            0.011125,                   0,             0.43159,             0.24863,              0.2071,            0.054507,             0.11557,             0.01049,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.086893,            0.011566,                   0,              0.1031,            0.044248,            0.015355,           0.0030132,             0.12796,              0.0122,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,             0.09053,            0.012306,                   0,             0.13167,            0.053097,             0.02208,           0.0053585,             0.14191,            0.010029,                   0,             0.00901,             0.00901,             0.00901
