               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1262,            0.011271,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.070732,            0.003252,            0.003252
                   1,              0.1208,            0.011058,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.040706,           0.0065593,           0.0065593
                   2,             0.12533,             0.01009,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.010653,           0.0098401,           0.0098401
                   3,             0.11974,             0.01177,                   0,            0.011207,            0.035398,           0.0009765,          0.00019746,                 nan,                 nan,                   0,           0.0098812,           0.0098812,           0.0098812
                   4,             0.11576,            0.012641,                   0,           0.0061131,           0.0088496,          0.00047588,          8.6204e-05,                 nan,                 nan,                   0,           0.0098812,           0.0098812,           0.0098812
                   5,             0.11227,            0.012246,                   0,              0.1294,            0.035398,            0.016965,           0.0030988,             0.13626,           0.0088372,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,              0.1047,            0.012326,                   0,            0.032962,            0.097345,             0.01377,           0.0033528,              0.1252,            0.012942,                   0,            0.009802,            0.009802,            0.009802
                   7,             0.10149,            0.013168,                   0,            0.040271,             0.10619,            0.016162,           0.0042654,             0.12607,            0.011326,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,             0.10068,            0.012908,                   0,            0.054538,            0.053097,           0.0057757,          0.00099591,                 nan,                 nan,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.096374,            0.012475,                   0,            0.030578,            0.079646,           0.0083367,           0.0024741,             0.11686,            0.016744,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.094859,            0.012725,                   0,            0.084428,            0.097345,            0.027288,            0.007156,            0.097667,            0.024212,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,             0.10103,            0.012126,                   0,            0.090647,             0.15929,            0.040091,           0.0087935,             0.10466,            0.015298,                   0,            0.009604,            0.009604,            0.009604
                  12,             0.09956,            0.012264,                   0,             0.13586,             0.29204,            0.094993,            0.022269,             0.09878,            0.012372,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.095979,            0.012294,                   0,             0.20227,             0.24779,             0.12455,            0.032095,            0.096297,             0.01427,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.089566,             0.01297,                   0,             0.13801,             0.10619,            0.048238,            0.011347,             0.12253,            0.012776,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.090042,            0.011943,                   0,             0.40894,             0.20354,             0.14144,            0.037336,             0.10727,             0.01427,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.087292,            0.011753,                   0,             0.36344,             0.22124,             0.14766,            0.043449,             0.10666,            0.013131,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.086845,             0.01179,                   0,             0.53134,             0.27434,             0.29206,            0.062912,            0.091204,            0.011389,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.091209,            0.011231,                   0,             0.48664,             0.41593,             0.36691,            0.079082,            0.088698,            0.010706,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.088472,             0.01171,                   0,             0.32856,             0.25664,             0.17366,            0.047513,            0.091663,            0.015264,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.087581,            0.011803,                   0,             0.37059,             0.39823,             0.34647,            0.092477,            0.086236,            0.012872,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.081222,            0.011973,                   0,             0.31233,             0.17685,             0.10931,            0.024784,             0.11716,            0.010796,                   0,            0.009208,            0.009208,            0.009208
                  22,             0.07672,            0.011479,                   0,             0.51102,             0.27434,             0.27671,            0.081534,             0.08578,            0.015978,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.081836,            0.011661,                   0,             0.56611,             0.23894,             0.20619,            0.064327,              0.1029,            0.014919,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.082437,             0.01086,                   0,             0.64202,             0.43363,             0.50373,             0.16372,            0.085919,            0.010277,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.082953,            0.010577,                   0,             0.50751,             0.56541,             0.48424,             0.15496,            0.081544,            0.011186,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,            0.082688,            0.011639,                   0,              0.5226,             0.40708,             0.41273,             0.13376,            0.078816,            0.010528,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.078196,            0.011807,                   0,             0.36022,             0.15929,            0.098075,            0.025247,             0.13305,            0.036686,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.079613,            0.011787,                   0,             0.61637,             0.34513,             0.33844,            0.093892,             0.08644,            0.015443,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.079108,            0.011549,                   0,             0.50718,             0.18584,             0.18551,            0.034258,            0.096082,             0.01539,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.077892,            0.010667,                   0,             0.21622,            0.053097,            0.045166,            0.010002,              0.1278,            0.012218,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.073619,            0.011963,                   0,             0.57793,             0.22124,             0.25224,             0.07143,            0.091433,            0.013593,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.073361,            0.011663,                   0,             0.51344,             0.46018,             0.41419,             0.14032,            0.074695,            0.013346,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.075772,            0.010347,                   0,             0.39768,             0.38053,             0.30057,            0.085951,            0.079595,            0.014778,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,             0.07394,             0.01136,                   0,             0.61908,             0.47788,             0.51022,             0.13701,            0.071332,            0.011409,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.070233,            0.011115,                   0,             0.49107,             0.41593,             0.44377,             0.13282,            0.075244,            0.011612,                   0,           0.0086536,           0.0086536,           0.0086536
