               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12782,            0.011723,                   0,                   0,                   0,                   0,                   0,             0.16687,           0.0034828,                   0,            0.070732,            0.003252,            0.003252
                   1,             0.11644,            0.012135,                   0,           0.0020559,            0.061947,            0.000452,           0.0001028,             0.13478,             0.35824,                   0,            0.040706,           0.0065593,           0.0065593
                   2,             0.11281,            0.013219,                   0,            0.032485,            0.017699,            0.010217,           0.0015901,             0.13847,             0.12606,                   0,            0.010653,           0.0098401,           0.0098401
                   3,             0.10751,            0.014056,                   0,            0.050704,            0.079646,           0.0089083,           0.0015964,                 nan,                 nan,                   0,           0.0098812,           0.0098812,           0.0098812
                   4,             0.10724,            0.013914,                   0,            0.082958,            0.026549,           0.0038031,          0.00050497,                 nan,                 nan,                   0,           0.0098812,           0.0098812,           0.0098812
                   5,             0.10246,            0.013446,                   0,            0.046427,            0.070796,            0.015321,           0.0028378,             0.12086,            0.014998,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,             0.10369,            0.011835,                   0,            0.089497,            0.053097,            0.016689,           0.0030653,             0.13237,             0.01408,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.098549,            0.012946,                   0,              0.2322,            0.070796,            0.037043,           0.0096221,             0.11409,            0.014899,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,            0.093807,             0.01361,                   0,            0.073168,             0.24779,            0.035624,           0.0084289,             0.10604,            0.013341,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.088875,             0.01252,                   0,            0.081583,            0.097345,            0.017061,           0.0042529,             0.12251,            0.012544,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.089282,             0.01258,                   0,             0.17891,             0.13274,            0.071679,            0.018835,             0.11809,            0.012089,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.085378,            0.013096,                   0,             0.18546,             0.23009,            0.076443,            0.020095,             0.10103,            0.013977,                   0,            0.009604,            0.009604,            0.009604
                  12,            0.083708,            0.013803,                   0,             0.30379,             0.27434,             0.17236,             0.04661,            0.090031,            0.012709,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.080581,            0.012595,                   0,            0.098692,             0.41593,            0.080365,            0.024758,            0.081225,            0.014129,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.078678,            0.012306,                   0,             0.28111,             0.24779,             0.14549,            0.040147,            0.093223,            0.012198,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.075844,            0.011182,                   0,             0.41973,             0.33628,             0.23869,            0.058365,            0.085668,            0.011707,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,             0.07741,             0.01024,                   0,             0.29797,             0.26549,             0.16454,            0.046115,            0.089499,            0.014583,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.080126,            0.010491,                   0,             0.40214,             0.47621,             0.39734,            0.085677,            0.078667,           0.0099397,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.079789,            0.010259,                   0,             0.19726,             0.27837,              0.1795,            0.049545,            0.082014,            0.013315,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.079842,            0.010058,                   0,             0.40251,             0.39943,             0.28891,            0.069575,            0.080242,            0.014066,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.078806,            0.010634,                   0,               0.534,             0.39823,             0.37534,             0.11351,             0.07875,            0.011917,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.074022,             0.01048,                   0,             0.46385,             0.28319,             0.22965,            0.068541,            0.092283,            0.010783,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.069026,            0.010516,                   0,             0.55114,             0.48673,             0.45586,             0.14703,             0.07131,           0.0096687,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.068211,            0.010578,                   0,             0.52744,             0.47788,             0.48969,             0.15479,            0.067453,            0.010365,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.066772,            0.010464,                   0,              0.6891,             0.43363,             0.39571,             0.11752,             0.07447,            0.011974,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.070019,            0.010273,                   0,             0.39112,             0.47788,             0.29365,            0.078849,            0.071417,            0.012209,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,            0.071707,            0.011465,                   0,             0.46546,             0.53097,             0.38087,             0.11144,            0.069512,            0.016603,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.071152,            0.011035,                   0,             0.40459,             0.46018,             0.35161,             0.10082,            0.071689,            0.010805,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.070039,             0.01148,                   0,             0.66538,             0.55752,             0.57009,             0.19257,            0.063229,            0.011112,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.066988,            0.010946,                   0,             0.55948,             0.33628,             0.36844,             0.10878,            0.075783,            0.010593,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.067788,            0.010048,                   0,             0.60073,             0.35398,             0.38171,              0.1051,            0.075013,            0.010663,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.064659,            0.010725,                   0,             0.60728,             0.52212,             0.47352,             0.15175,            0.060704,            0.010331,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.065588,            0.010481,                   0,             0.73216,             0.51327,             0.54354,             0.15404,            0.068824,            0.010508,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.066961,           0.0096289,                   0,             0.70174,             0.70792,             0.64138,              0.2034,            0.067091,           0.0088932,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,            0.065912,            0.010184,                   0,             0.64225,             0.36543,             0.33533,             0.10797,            0.081871,              0.0112,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.063696,           0.0095234,                   0,             0.60459,             0.59538,             0.55049,             0.19479,            0.060164,            0.010448,                   0,           0.0086536,           0.0086536,           0.0086536
                  36,            0.067799,            0.010205,                   0,             0.53167,             0.55258,             0.46939,             0.13205,            0.066374,           0.0094851,                   0,            0.008614,            0.008614,            0.008614
                  37,            0.063743,            0.009769,                   0,             0.67524,             0.57522,             0.59414,             0.16907,            0.061848,            0.009589,                   0,           0.0085744,           0.0085744,           0.0085744
                  38,            0.064807,           0.0095409,                   0,             0.68662,             0.66372,             0.65759,             0.21834,            0.061605,           0.0092263,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.060016,            0.010404,                   0,             0.72421,             0.69027,              0.6793,             0.23846,            0.057548,            0.010837,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.061464,           0.0097948,                   0,             0.73262,             0.69027,             0.67657,             0.22856,            0.058027,           0.0090706,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.061384,            0.010166,                   0,             0.56394,             0.46018,             0.46193,              0.1379,            0.068133,            0.012515,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.062077,           0.0090946,                   0,             0.78438,             0.28319,             0.33454,             0.11222,            0.092242,            0.011006,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.063847,           0.0098332,                   0,             0.66505,             0.59292,             0.56579,             0.17454,            0.063832,            0.010386,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.064635,           0.0096092,                   0,             0.46696,             0.41593,             0.37162,             0.10662,            0.068396,            0.012431,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.063179,           0.0096008,                   0,             0.65788,             0.65487,             0.65021,             0.21235,            0.059218,           0.0095015,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.061226,            0.010011,                   0,             0.63283,             0.62832,             0.53759,             0.16492,            0.062482,           0.0094434,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.060623,           0.0093949,                   0,             0.59574,             0.55752,             0.46245,             0.13603,            0.063889,            0.010428,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,            0.059046,           0.0096397,                   0,             0.73217,             0.53224,             0.57799,             0.18619,             0.06484,            0.009693,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.061307,           0.0098412,                   0,             0.62721,             0.53097,             0.54201,             0.15358,            0.064838,            0.010424,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.060193,           0.0093776,                   0,             0.67947,             0.66372,             0.62316,             0.22742,            0.057679,            0.009455,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,            0.061374,           0.0095326,                   0,             0.66177,             0.53678,             0.58698,             0.19369,            0.063433,           0.0094556,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.061908,           0.0093516,                   0,             0.33445,            0.088496,            0.089276,            0.028219,             0.11388,            0.014432,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,            0.061076,           0.0098137,                   0,             0.46728,             0.69085,             0.43303,             0.13063,             0.05946,           0.0095665,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,            0.059918,            0.010024,                   0,             0.56119,             0.37349,             0.38475,             0.12019,            0.069035,            0.013314,                   0,           0.0079012,           0.0079012,           0.0079012
